iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,100,142.443,158.648,6.55216,484.394,19.7304,14.5909,14.3794,484.15,36.8163,30.7019,175.506,166.427,19.6439,381.513,15.2978,170.602,13.069,245.407,8.81093,243.217,343.886,248.966,22.4699,20.7734,6.89375,10.1576,75.0675,329.84,295.305,408.223,352.416,354.53,414.113,6.9527,380.648,7.76416,57.4954,33.6073,7.71908,7.01373,10.8831,406.603,8.33642,165.113,261.312,58.9532,256.888,122.933,9.70188,9.94606,21.29,17.0117,394.819,383.939,9.26506,11.8586,9.30987,7.79893,248.451,17.5306,302.542,471.335,408.752,322.557,213.555,277.03,14.9864,404.268,9.28221,238.949,21.1533,14.7534,50.0852,472.64,408.362,203.664,25.7858,19.8392,93.8692,93.2855,86.4017,270.874,27.2156,40.3598,17.9151,20.9307,11.3177,71.645,7.66149,446.925,484.394,384.784,28.5533,14.8931,7.44805,6.70579,6.75788,14.6822,172.385,8.64411,32.7937,71.2182,80.8509,6.55216
1,240,8.8914,3.16526,6.48308,24.1805,7.70675,6.73123,6.80569,7.95104,7.83595,6.81614,17.2719,6.97162,6.5442,7.54133,6.72328,9.59434,11.6715,9.78636,7.67489,11.3347,9.63268,9.46691,20.6977,18.8343,7.348,7.10264,8.21787,8.55288,7.295,9.46833,9.47001,9.03369,8.62485,6.61477,9.98563,7.36011,6.88325,7.60429,7.04747,6.6675,6.668,8.35887,7.97691,8.51476,9.85778,7.8919,8.59363,6.54552,9.62085,6.80452,17.784,8.68153,9.27357,7.97148,6.48308,8.79381,6.52131,6.5479,10.4049,12.8779,10.4222,8.29971,8.38383,9.3243,10.6782,9.82779,6.51201,7.46994,9.13889,9.63966,8.11656,11.7238,7.73413,8.0608,8.31055,6.72878,24.1805,17.2164,6.56205,6.57288,6.63062,10.2346,7.1147,6.73662,6.96475,7.67751,11.2224,7.74031,6.48554,9.12871,8.00855,9.15318,8.0367,6.59545,7.90225,6.66183,6.78452,7.86634,16.2664,7.72364,8.4611,6.57522,6.69431,6.53082
2,380,7.54467,2.23527,6.46402,20.4266,6.54392,6.7107,6.75751,6.59716,6.65997,6.74826,16.2251,6.89749,6.67157,8.16085,7.68472,7.31446,11.0375,7.15081,6.95099,7.27525,6.75548,7.38239,13.0414,15.2813,7.67934,7.5228,6.71902,6.50382,6.69426,6.63609,6.67498,6.82667,6.70212,6.75201,6.67591,6.7435,6.58932,7.03814,6.80553,6.77428,6.64075,7.17371,7.08243,7.03281,7.06944,6.59659,6.69972,6.59232,9.46621,6.62798,12.9562,7.56471,6.82105,6.9897,6.70569,6.78801,6.53032,6.55823,6.53017,7.60586,6.54543,7.27363,7.29798,6.46402,6.96288,6.90125,6.50847,7.22012,8.45958,6.69272,6.53971,7.66811,6.61639,6.5701,6.65068,6.52244,20.4266,11.5608,7.01502,6.75883,6.59341,6.57211,6.86969,6.69879,6.79813,7.56259,10.9009,6.62462,6.82428,6.56838,6.70522,6.48577,6.8747,6.80599,8.99338,6.70691,6.88307,6.65247,13.4474,6.50512,6.54432,6.58775,6.70601,6.68487
3,520,7.36256,1.67622,6.41396,15.6437,6.53591,6.70595,6.72207,6.59689,6.619,6.67918,14.1989,6.90139,6.67533,8.36861,7.54295,6.95327,10.4642,7.13624,6.875,6.77132,7.13705,7.26576,10.5975,14.603,7.73265,7.38725,6.63511,6.49945,6.71133,6.66982,6.8868,6.795,6.73101,6.70972,6.59735,6.64551,6.5636,6.92616,6.75917,6.87608,6.63122,7.20356,6.82342,7.02417,6.95499,6.53121,6.55514,6.62134,9.67154,6.62693,9.54174,7.67333,6.91283,7.20608,6.63981,6.81463,6.51392,6.54569,6.5137,6.91326,6.68323,7.12201,7.3718,6.54525,6.93337,7.32762,6.50411,7.17253,8.34265,6.68382,6.47729,7.52942,6.61855,6.55978,6.66915,6.50351,15.6437,10.5947,7.10872,6.82914,6.58734,6.41396,6.90504,6.68459,6.808,7.5187,10.9067,6.61256,6.97421,6.56178,6.62529,6.52886,7.09012,6.75884,8.57212,6.67218,6.93711,6.64908,11.8375,6.49946,6.51478,6.57885,6.6848,6.71934
4,660,7.06413,0.920166,6.44371,12.1048,6.52255,6.69282,6.69825,6.60016,6.58808,6.64554,9.06744,6.9252,6.77364,8.55672,7.41095,6.67229,9.28705,7.13183,6.73641,6.51766,7.55417,7.02829,7.02183,12.1048,7.81283,7.23151,6.59878,6.5667,6.76862,6.73133,7.13756,6.78096,6.75305,6.67435,6.56149,6.58432,6.53016,6.77792,6.73214,7.09727,6.63119,7.222,6.64494,7.0307,6.79191,6.4911,6.52398,6.6862,10.3138,6.63887,6.55036,7.76296,7.0101,7.47238,6.59811,6.82624,6.5036,6.5352,6.72143,6.89423,6.79371,7.00877,7.42583,6.67167,6.84994,7.66329,6.49078,7.19802,8.34678,6.69387,6.44371,7.18375,6.66306,6.56258,6.69613,6.503,6.55568,8.24744,7.19835,6.97967,6.58157,6.46798,6.88879,6.65967,6.78266,7.44803,11.0567,6.58637,7.10021,6.54371,6.57988,6.66264,7.21916,6.75185,6.8383,6.64298,7.07736,6.64624,8.88758,6.49802,6.60462,6.56399,6.66399,6.76102
5,800,7.00015,0.851951,6.43645,12.1999,6.51209,6.67762,6.68736,6.59437,6.58115,6.64018,6.48539,6.94431,7.07615,8.53108,7.37505,6.63913,8.30887,7.33542,6.63675,6.51627,7.57559,6.82638,6.51615,7.91536,7.81586,7.19771,6.60213,6.58243,6.90458,6.77822,7.12553,6.77005,6.75209,6.70267,6.54946,6.63019,6.52514,6.69843,6.81627,7.22925,6.62882,7.2327,6.61664,7.1708,6.70423,6.49016,6.81743,6.7179,12.1999,6.62589,6.54989,7.69461,7.05141,7.49949,6.60164,6.77642,6.49898,6.52592,6.93609,6.8985,6.69048,6.99626,7.45452,6.57941,6.71516,7.51828,6.4827,7.17629,9.23112,6.87558,6.43645,6.79095,6.65125,6.55818,6.70468,6.50202,7.44846,6.61498,7.13457,6.99566,6.57438,6.46261,6.8481,6.64111,6.78327,7.41229,11.7366,6.56081,7.02523,6.52211,6.56511,6.7773,7.18664,6.7862,6.94334,6.82437,7.30515,6.65092,7.45757,6.51061,6.61006,6.55725,6.6653,6.75914
6,940,7.00485,0.927682,6.43218,14.0558,6.50354,6.6615,6.67879,6.58789,6.57983,6.6388,6.47476,6.95725,7.51966,8.48078,7.36566,6.64599,7.54328,7.51063,6.57147,6.50856,7.64031,6.68628,6.52299,6.74363,7.77954,7.18631,6.60736,6.56523,7.22462,6.83597,7.12309,6.74155,6.74647,6.65601,6.53869,6.7927,6.52784,6.67498,6.87293,7.38241,6.62708,7.23586,6.61212,7.40773,6.63945,6.49455,7.10284,6.72865,14.0558,6.61862,6.56078,7.66258,7.08755,7.46707,6.57287,6.71788,6.49578,6.52225,7.1204,6.87286,6.74611,7.04556,7.47966,6.62279,6.53375,7.54232,6.47644,7.14903,10.2697,7.58768,6.43218,6.60509,6.64742,6.55312,6.71179,6.50093,6.46968,6.57312,7.10769,6.98346,6.56172,6.45613,6.80922,6.62654,6.78423,7.39581,9.74649,6.53943,7.0101,6.50363,6.55509,6.842,7.15618,6.81244,6.80902,7.71246,7.67708,6.66147,6.94257,6.5826,6.60831,6.55625,6.67959,6.73913
7,1080,6.9819,0.726562,6.42967,11.7449,6.49634,6.64723,6.67147,6.58211,6.58008,6.63651,6.4639,6.96397,7.9583,8.44401,7.36505,6.65368,7.12272,7.27962,6.53958,6.50167,7.68374,6.61494,6.50296,6.53785,7.75681,7.19923,6.6118,6.55232,7.78531,6.89923,7.11199,6.7209,6.74184,6.64514,6.53012,7.07486,6.53019,6.67632,6.63768,7.54715,6.62683,7.23535,6.63703,7.47988,6.61933,6.4999,7.22802,6.74066,11.7449,6.61884,6.56228,7.63433,7.1212,7.44476,6.54499,6.69766,6.49441,6.51899,7.27325,6.8501,6.68713,7.13174,7.50663,6.59522,6.50082,7.48658,6.47751,7.13732,8.88247,8.74784,6.42967,6.5985,6.65885,6.54908,6.71519,6.50324,7.1665,6.55387,7.08783,7.00335,6.53688,6.45357,6.78994,6.61402,6.78629,7.38317,6.80284,6.52703,6.98379,6.49148,6.54768,6.90423,7.13362,6.85136,6.96085,9.25205,8.05661,6.67297,6.90411,6.70337,6.60458,6.55484,6.69169,6.72431
8,1220,6.98796,0.780368,6.42774,12.0277,6.4901,6.6355,6.66392,6.5761,6.58073,6.64962,6.46193,6.96474,8.3107,8.41967,7.36371,6.65948,6.95802,6.99697,6.53201,6.49799,7.7421,6.5861,6.49526,6.62196,7.76835,7.20354,6.61577,6.54259,8.93274,6.96099,7.11499,6.70849,6.73722,6.62364,6.52435,7.3197,6.52916,6.69674,7.05779,8.05107,6.62821,7.23359,6.65526,7.37208,6.62907,6.50532,7.29695,6.75282,7.37711,6.61579,6.56752,7.61832,7.15036,7.4355,6.52084,6.69539,6.49019,6.51337,7.52036,6.8121,6.74096,7.23023,7.53365,6.62351,6.63816,7.48552,6.49701,7.12652,6.75749,10.3567,6.42774,6.6282,6.65918,6.54474,6.71092,6.50599,6.50599,6.5518,7.07005,7.02872,6.50724,6.45692,6.77066,6.6036,6.79597,7.36716,6.81713,6.51909,6.97581,6.48709,6.54118,6.97391,7.11093,6.93278,6.88571,12.0277,8.34397,6.69239,6.89877,6.89909,6.60259,6.5523,6.71177,6.71534
