real_name,scale_dl,scale_din,gemc,gdwc,femc,fdwc,cemc,cdwc,oemc,odwc
66,2.22214,5.62068,25.9727,100,40.3258,100,55.2348,99.4757,93.0142,91.2277
67,27.1906,12.6963,0.131347,100,0.0512716,19.0667,98.7118,51.6724,100,0.960857
68,64.8463,5.08818,77.9587,100,0.000566326,84.6087,11.5073,2.83096,75.1604,69.9884
69,100,2.04559,27.1941,51.6824,44.3472,72.087,89.9792,84.6661,1.29904,100
70,0.0664675,1.69485,55.3333,74.0609,66.6527,72.6473,1.33025,0.365702,94.3851,56.4539
71,99.0862,3.85323,39.0481,2.45396,4.2179,77.069,100,88.4746,62.6045,0.304049
72,15.1531,3.85767,79.4449,90.2954,2.83038,57.7561,0.549195,3.77838,48.7945,62.4539
73,0.11701,0.729219,57.4398,60.9031,0.245316,60.7145,100,41.011,3.54771,29.7596
74,23.3695,12.1663,61.8676,97.1418,1.38594,59.9673,0.522502,1.7431,99.1472,99.0442
75,100,17.4835,27.4819,4.80427,0.010066,96.6228,28.5909,100,89.5295,4.58533
76,81.9373,8.42985,22.2791,47.237,55.6046,98.8312,11.0055,93.3792,100,97.9496
77,0.0565752,7.17087,44.5256,79.8039,0.603073,100,58.4026,70.2932,100,100
78,1.27556,0.0262862,49.2826,9.08036,44.0153,0.0236255,80.5771,21.6647,0.586996,1.31468
79,3.55626,13.3753,23.2963,26.8558,10.4775,100,37.5242,0.0504114,99.5898,100
80,100,3.7036,62.1435,1.08991,46.6421,31.2,1.06896,100,100,100
81,0.0162394,21.8552,1.43978,18.0646,48.0632,18.0594,5.54841,100,22.1669,51.9183
82,4.61888,0.175204,43.9861,0.837518,32.958,0.365151,0.535689,0.0413232,0.535086,91.7911
83,81.8877,11.412,5.68875,100,44.8866,98.2766,66.1168,100,33.8863,100
84,100,9.98454,69.5795,100,0.107038,100,9.09892,96.2324,45.0088,8.32141
85,100,5.1457,24.6716,72.1138,41.7207,90.6862,73.8201,0.455164,16.5448,100
86,100,3.55558,22.5746,0.135848,37.9357,83.0544,94.6875,88.0864,97.6021,100
87,100,9.34395,32.6928,72.6506,6.2554,8.81329,100,78.2011,7.04619,100
88,1.60717,0.142035,56.6393,100,46.2141,100,74.321,0.0014721,1.82778,100
89,2.71343,6.03323,43.5374,16.1839,1.59134,100,91.3873,0.435691,100,2.77426
90,0.653824,7.01784,74.3806,100,0.969473,1.25027,6.94541,45.5036,95.0391,52.5309
91,2.07007,0.191591,0.0725221,100,48.0726,57.6982,98.5858,86.4117,100,0.32957
92,8.32489,10.4861,0.238505,2.46304,59.9268,9.2655,7.74741,0.113257,100,34.5289
93,82.703,11.8472,3.96085,5.3796,45.2707,100,61.4365,83.7154,0.107777,1.10696
94,25.9109,17.1256,3.66129,6.68373,3.17921,100,63.5655,25.101,0.788101,63.9077
95,66.5195,3.59243,4.84363,100,56.3922,100,86.5494,92.4296,90.3785,0.917872
96,6.41787,2.17515,50.5656,100,31.1354,32.15,54.2159,72.0591,84.9084,27.2404
97,94.8162,13.3111,1.36458,100,17.7233,100,100,77.7398,2.29806,100
98,65.8805,12.8005,0.123713,0.26526,16.3353,0.569675,99.5264,0.173355,100,1.63289
99,100,4.9328,49.8966,21.926,0.64703,100,100,4.94376,2.05489,12.0556
