real_name,din_2009,din_2010,din_2011,din_2012,din_2013,din_2014,din_2015,din_2016,din_2017,din_2018,NSE,NSE_without_2012,Compare
85,66.3136,115.233,52.7761,46.6212,18.9183,11.7436,22.1072,63.5683,12.2015,43.1926,0.5798965459615562,0.5791870287353793,0
86,65.0749,109.55,53.1563,46.9437,18.283,10.8274,21.1878,62.0617,11.3164,41.7354,0.7120772321431261,0.7129709779635938,0
87,65.1507,112.542,52.0407,45.9304,18.5988,11.1709,21.8775,61.9729,12.0654,42.5894,0.6035796113733605,0.6036740616242862,0
88,62.1319,101.536,51.8821,46.0305,17.4298,9.85919,19.8404,58.9936,10.5035,39.6286,0.45846373003953145,0.5363352910392439,0
89,67.135,112.728,55.3125,48.5363,18.6882,10.6478,22.0327,63.5125,11.5286,42.8674,0.5617370817112519,0.5746884471301116,0
90,67.4833,118.556,53.6082,47.0894,19.2177,11.6052,23.0344,64.0362,12.7683,44.3888,0.46572306690551557,0.5650125471993482,0
91,62.7758,102.53,52.2805,46.4929,17.6135,10.2504,19.8047,59.9657,10.4259,39.7515,0.5576330051444106,0.595417697,0
92,59.7199,107.03,45.4299,40.4616,17.1979,11.4327,20.2038,57.8093,11.9712,40.3271,0.6834256465176102,0.7574177983836815,0
93,62.8551,115.565,46.9137,41.704,18.5203,12.5283,21.9578,60.7768,13.1771,42.8479,0.7384338951450207,0.7414013099897214,0
94,42.6443,74.664,31.3076,29.0049,13.0445,8.4001,14.7703,40.7155,10.0781,31.2166,0.077662218,0.3258249578277427,0
95,61.4095,106.828,48.315,43.1408,17.8979,11.2872,20.5945,58.8812,11.8623,40.7524,0.6511541821504897,0.6605978864252562,0
96,62.1629,104.521,50.6685,44.9413,17.6379,10.3105,20.3988,59.0124,11.1674,40.3844,0.3337351807551453,0.3632756273407012,0
97,55.214,95.0883,43.1452,38.898,16.3381,10.1255,18.6061,52.6893,11.1326,37.4146,0.4293420875541559,0.6313834602547106,0
98,55.1025,95.2182,42.8088,38.3064,15.8718,9.82807,18.4675,52.6124,10.8958,37.2405,0.1247570402198912,0.2393728689473701,0
99,65.8076,109.378,54.5203,47.9402,18.3347,10.3256,21.4278,62.2636,11.1801,41.922,0.5373141468024301,0.5798723196791427,0
