real_name,din_2009,din_2010,din_2011,din_2012,din_2013,din_2014,din_2015,din_2016,din_2017,din_2018
73,49.4685,81.1607,39.6657,35.8893,14.3401,8.22512,16.1812,46.7463,9.62118,33.5039
74,64.1719,115.069,49.6526,43.8279,18.5743,11.6307,22.3143,61.0761,12.9226,43.1957
75,62.821,110.745,49.196,43.4616,18.0638,11.1019,21.552,59.7204,12.3306,41.9912
76,64.2138,118.277,48.1367,42.7297,18.8762,12.7676,22.451,62.0419,13.4178,43.685
77,63.2988,106.457,51.8304,45.8075,17.9324,10.2586,20.9642,59.7642,11.387,41.1123
78,58.9578,96.0766,48.8918,43.3735,16.3108,9.23171,18.6691,56.0902,9.95672,37.8224
79,62.0132,116.149,45.4488,40.3404,18.4144,12.4608,22.2611,59.598,13.654,43.0779
80,62.6594,104.211,51.6704,45.6386,17.3676,10.0563,20.1529,59.6672,10.7349,40.2066
81,56.1312,106.013,40.0387,36.0125,16.8949,11.9152,20.0799,54.5015,12.9153,39.8587
82,46.7382,76.6412,37.1042,33.8345,13.3505,8.17372,14.7353,45.0266,8.98872,31.7575
83,62.4639,109.939,48.7171,43.4397,18.256,11.6737,21.1195,60.0152,12.226,41.5853
84,66.5212,117.948,52.3134,46.1176,19.2365,11.8328,22.9543,63.2177,13.009,44.2051
85,65.0629,109.905,53.0112,46.8713,18.3406,10.9669,21.1793,62.1997,11.3847,41.7939
86,64.8038,108.09,53.3339,47.0968,18.1091,10.5922,20.9152,61.7708,11.0516,41.3431
87,63.5457,107.348,51.6288,45.6269,17.9898,10.4699,20.9727,60.2843,11.3801,41.1906
88,61.986,101.322,51.7356,45.9117,17.3947,9.85039,19.7945,58.8649,10.4949,39.5598
89,67.1975,111.767,55.8428,48.9785,18.6065,10.4296,21.8848,63.4911,11.3026,42.6527
90,51.8941,98.0971,36.6426,33.2289,15.9569,10.9312,19.0436,49.7123,12.6777,37.8615
91,63.2764,103.367,52.7418,46.8729,17.7273,10.3254,19.9396,60.4724,10.4546,39.9885
92,61.2069,109.97,46.6061,41.4171,17.5817,11.7244,20.7048,59.3018,12.1704,41.1545
93,63.0143,115.682,47.1239,41.8789,18.5381,12.5262,21.9669,60.9417,13.1466,42.8813
94,39.5403,69.9107,28.2536,26.5045,12.315,8.10055,13.8664,37.8064,9.90701,29.7625
95,61.5411,106.929,48.4871,43.289,17.9151,11.2966,20.5959,59.0317,11.8361,40.7779
96,62.0868,104.267,50.6533,44.9283,17.599,10.2755,20.3436,58.9457,11.1241,40.3088
97,57.6344,101.537,44.3462,39.8319,17.1079,10.9007,19.7234,55.1753,11.836,39.1734
98,58.0468,102.125,44.6857,39.8033,16.7434,10.584,19.6894,55.555,11.5625,39.1732
99,65.8904,109.883,54.439,47.8647,18.3796,10.4057,21.5091,62.3699,11.2623,42.0467
