real_name,scale_dl,scale_din,gemc,gdwc,femc,fdwc,cemc,cdwc,oemc,odwc
63,10.6098,3.07996,38.0852,30.6738,15.9953,1.9537,100,2.58382,90.1004,0.0591683
64,2.70665,0.466434,7.5973,1.32924,100,19.3591,47.0904,0.221144,100,65.4949
65,95.9642,4.51394,0.0266102,78.5799,100,6.29082,53.4718,3.02636,100,0.902838
66,2.07246,3.48091,34.2972,100,55.4067,100,60.9714,94.8074,89.4409,79.0696
67,47.1163,4.35836,0.0516436,100,0.137342,14.5655,100,67.7372,100,0.74464
68,67.4553,10.6969,42.0526,91.8991,0.000510098,87.4351,9.16447,2.81296,79.4317,85.5204
69,100,3.31015,24.8183,42.3395,54.8509,95.2466,90.2846,78.9145,1.31042,97.8555
70,0.0624618,1.97647,51.4408,66.4963,77.7717,90.0363,1.16295,0.369258,88.3096,56.2754
71,99.7003,6.44147,31.2633,2.1839,4.58292,95.2833,98.0338,84.9433,66.118,0.325777
72,32.7829,1.77533,73.7991,100,6.67577,73.0796,0.391036,5.79075,32.8494,46.449
73,0.290157,0.949084,40.2019,27.6427,0.759306,90.1367,100,48.8621,3.12898,24.6317
74,21.036,10.8246,59.6781,86.0935,1.6331,60.8639,0.456354,1.62579,94.2994,92.8568
75,90.0481,8.22156,54.2103,5.24551,0.0127774,93.935,29.7594,91.4284,89.4059,3.6068
76,99.841,14.9919,10.9957,32.3935,68.1954,95.9816,9.35724,96.0394,90.578,100
77,0.0487007,3.30528,58.9848,72.291,0.822278,100,48.6863,67.7596,99.2446,83.1982
78,1.14953,0.013042,39.2457,7.22541,48.6819,0.0194694,58.9811,20.4236,0.45351,1.16703
79,3.63521,15.302,20.396,22.4597,13.6845,100,37.3772,0.0481387,97.3635,98.0867
80,97.8633,2.10452,52.2106,0.852162,60.1782,25.5897,0.858221,100,98.1741,100
81,0.0153034,13.7804,1.25431,14.1317,62.5647,15.5696,5.04924,98.5805,19.3612,47.1375
82,11.8183,0.0819305,8.26076,0.181624,100,0.250732,0.409494,0.0534694,0.218316,76.073
83,76.1828,7.03766,6.41245,100,66.0762,93.1515,72.4051,97.099,31.0559,93.1125
84,99.9246,9.59519,68.6489,100,0.127649,99.5036,8.76035,92.9342,44.6547,7.75606
85,100,4.86955,26.7172,57.3133,60.6396,100,71.6604,0.418274,14.6486,98.6348
86,100,2.94188,24.2729,0.108087,53.9164,92.389,86.1685,79.1324,84.7769,97.1834
87,100,4.93626,40.4006,62.2972,8.36194,9.2269,100,74.0856,5.55034,94.5202
88,1.39193,0.0811212,45.4885,100,49.7002,100,54.9617,0.00137631,1.52695,95.5167
89,2.24939,2.93784,56.8637,14.809,2.16032,100,83.2992,0.390236,100,2.20919
90,1.10169,10.1289,53.9793,100,1.60714,2.11085,6.44933,62.49,100,50.4884
91,2.69392,0.0642322,0.0210018,100,94.3921,29.8307,99.6515,100,100,0.290254
92,10.1025,9.94525,0.296288,1.7267,100,10.1166,12.0894,0.0967413,100,27.8791
93,89.2629,13.4132,2.91521,4.0965,58.6946,94.4374,59.5298,80.2458,0.0991327,1.12499
94,82.5758,5.26455,0.859514,1.41876,15.2316,100,46.5405,38.6092,0.300774,47.5046
95,92.5009,6.65442,1.76041,100,68.043,100,72.6773,100,76.9597,1.09526
96,6.9606,3.10093,38.3098,100,35.3036,33.1144,53.9211,68.7448,88.5146,29.4707
97,84.8708,6.69964,2.43762,100,32.1902,100,100,65.9649,2.36652,80.3787
98,87.0565,7.13545,0.065841,0.146564,27.8705,0.500936,100,0.190169,100,1.47879
99,95.2229,2.75003,55.844,19.6482,0.828147,100,99.8686,4.66258,1.77361,10.2262
