iteration,total_runs,obs_realization,par_realization,din,all_params
1,240,93,93,6.27168,0.0172572
1,240,94,94,13.2794,0.442762
1,240,95,95,5.15812,0.00585238
1,240,96,96,5.80613,0.0755943
1,240,97,97,4.49465,0.177004
1,240,98,98,4.59902,0.19717
1,240,99,99,4.73823,0.000713859
2,380,0,0,4.53379,1.11206
2,380,1,1,4.69622,0.0853168
2,380,2,2,4.77428,0.0871945
2,380,3,3,6.50891,1.02571
2,380,4,4,4.63984,0.197782
2,380,5,5,4.53069,0.127518
2,380,6,6,13.6015,0.632696
2,380,7,7,4.77562,0.377548
2,380,8,8,4.57006,0.0557312
2,380,9,9,4.733,0.850985
2,380,10,10,4.79077,0.0256503
2,380,11,11,4.50762,0.471523
2,380,12,12,7.39223,0.205153
2,380,13,13,5.17332,0.647019
2,380,14,14,4.46538,0.0861437
2,380,15,15,5.6559,0.601856
2,380,16,16,5.23092,0.784354
2,380,17,17,4.80139,0.596876
2,380,18,18,9.71902,0.460054
2,380,19,19,11.7267,0.420317
2,380,20,20,4.55348,0.0367895
2,380,21,21,4.62269,0.021516
2,380,22,22,4.62841,0.230386
2,380,23,23,4.5061,0.958668
2,380,24,24,4.53577,0.782685
2,380,25,25,4.67286,0.917719
2,380,26,26,4.81028,0.763273
2,380,27,27,4.44346,0.836287
2,380,28,28,4.5314,0.986996
2,380,29,29,4.72757,0.000520414
2,380,30,30,4.49993,0.833635
2,380,31,31,4.99368,0.0116957
2,380,32,32,4.46773,0.204201
2,380,33,33,4.54178,0.11579
2,380,34,34,5.06035,0.00410252
2,380,35,35,4.66625,0.0454079
2,380,36,36,4.60206,0.0172917
2,380,37,37,4.56577,0.994194
2,380,38,38,5.07761,0.0187523
2,380,39,39,4.5206,0.360822
2,380,40,40,4.86898,0.631209
2,380,41,41,4.53129,0.223033
2,380,42,42,4.86278,0.705972
2,380,43,43,4.49396,0.350594
2,380,44,44,6.59128,0.0523163
2,380,45,45,4.58342,0.0160341
2,380,46,46,8.48993,0.523559
2,380,47,47,4.59471,0.0595489
2,380,48,48,4.86216,0.817853
2,380,49,49,4.5073,0.822611
2,380,50,50,4.54349,0.0108792
2,380,51,51,5.01267,0.0242082
2,380,52,52,4.89214,0.00589255
2,380,53,53,4.756,0.0248721
2,380,54,54,5.70175,0.711735
2,380,55,55,4.51744,0.269615
2,380,56,56,4.5345,0.910796
2,380,57,57,4.4883,1.06796
2,380,58,58,4.49975,0.958863
2,380,59,59,4.51499,0.801045
2,380,60,60,4.82911,0.656295
2,380,61,61,4.52955,0.815784
2,380,62,62,4.51005,0.0461225
2,380,63,63,4.63577,0.897871
2,380,64,64,5.63982,0.117185
2,380,65,65,4.56339,0.660393
2,380,66,66,4.4348,0.0995645
2,380,67,67,6.48819,0.207141
2,380,68,68,4.55286,0.151106
2,380,69,69,4.62281,0.997312
2,380,70,70,4.67619,0.971519
2,380,71,71,4.46602,0.458916
2,380,72,72,17.0139,0.571053
2,380,73,73,8.33234,0.374812
2,380,74,74,4.64579,0.186232
2,380,75,75,4.57568,0.214816
2,380,76,76,4.88465,0.164366
2,380,77,77,4.69059,0.743995
2,380,78,78,4.96115,0.140555
2,380,79,79,4.87558,0.0750624
2,380,80,80,4.53139,0.0593423
2,380,81,81,4.83595,0.048203
2,380,82,82,7.83568,0.0546541
2,380,83,83,4.63876,0.191404
2,380,84,84,4.6252,0.0379464
2,380,85,85,4.5858,0.886679
2,380,86,86,4.70565,1.03373
2,380,87,87,4.45674,0.796016
2,380,88,88,4.7646,0.152971
2,380,89,89,4.85384,0.0262477
2,380,90,90,6.05521,0.126021
2,380,91,91,4.50808,0.000338355
2,380,92,92,4.63889,0.0107797
2,380,93,93,4.96597,0.0560816
2,380,94,94,13.8435,0.762991
2,380,95,95,4.43101,0.0276055
2,380,96,96,4.4668,0.152717
2,380,97,97,4.48344,0.214136
2,380,98,98,4.5827,0.227791
2,380,99,99,4.73089,0.00111385
3,520,0,0,4.53173,1.09085
3,520,1,1,4.74534,0.066586
3,520,2,2,4.57493,0.0688129
3,520,3,3,5.3681,1.03756
3,520,4,4,4.67007,0.202238
3,520,5,5,4.71407,0.0932257
3,520,6,6,9.57382,0.958899
3,520,7,7,4.76392,0.388058
3,520,8,8,4.63666,0.0494667
3,520,9,9,4.83257,0.817823
3,520,10,10,4.82264,0.0236892
3,520,11,11,4.77476,0.487675
3,520,12,12,5.16841,0.53296
3,520,13,13,4.97468,0.661559
3,520,14,14,4.54228,0.134169
3,520,15,15,4.53903,0.568389
3,520,16,16,4.55436,0.697397
3,520,17,17,4.52215,0.558728
3,520,18,18,5.66657,0.98532
3,520,19,19,8.96998,1.02349
3,520,20,20,4.50491,0.0741451
3,520,21,21,4.74369,0.015378
3,520,22,22,4.66858,0.223202
3,520,23,23,4.48688,1.05746
3,520,24,24,4.53585,0.814354
3,520,25,25,4.78139,0.887048
3,520,26,26,4.52402,0.669983
3,520,27,27,4.45511,0.800053
3,520,28,28,4.60155,0.987261
3,520,29,29,4.69487,0.00149818
3,520,30,30,4.56431,0.762781
3,520,31,31,4.8203,0.0319473
3,520,32,32,4.47179,0.22344
3,520,33,33,4.56089,0.161488
3,520,34,34,4.94866,0.0108451
3,520,35,35,4.77779,0.107915
3,520,36,36,4.59417,0.0208199
3,520,37,37,4.50829,0.986578
3,520,38,38,4.81675,0.0402497
3,520,39,39,4.53456,0.328775
3,520,40,40,4.62729,0.582505
3,520,41,41,4.60689,0.250234
3,520,42,42,4.52575,0.723125
3,520,43,43,4.48333,0.410402
3,520,44,44,6.36513,0.189548
3,520,45,45,4.75216,0.0119602
3,520,46,46,4.74848,1.16447
3,520,47,47,4.55811,0.065848
3,520,48,48,5.1193,0.746204
3,520,49,49,4.5782,0.749087
3,520,50,50,4.47936,0.0211092
3,520,51,51,4.98163,0.0228818
3,520,52,52,4.71301,0.0148425
3,520,53,53,4.69402,0.0232873
3,520,54,54,4.90305,0.709363
3,520,55,55,4.61882,0.306137
3,520,56,56,4.82668,0.991634
3,520,57,57,4.4832,1.0305
3,520,58,58,4.49388,0.929244
3,520,59,59,4.76345,0.784042
3,520,60,60,4.59403,0.675302
3,520,61,61,4.76439,0.861985
3,520,62,62,4.85813,0.0333608
3,520,63,63,4.65161,0.861613
3,520,64,64,4.96393,0.324922
3,520,65,65,4.50082,0.670384
3,520,66,66,4.76736,0.0776865
3,520,67,67,6.20205,0.339838
3,520,68,68,4.56643,0.176097
3,520,69,69,4.56734,0.938313
3,520,70,70,4.79229,0.982444
3,520,71,71,4.5198,0.440105
3,520,72,72,10.0969,1.62681
3,520,73,73,6.45216,0.825578
3,520,74,74,4.80196,0.176087
3,520,75,75,4.5923,0.223224
3,520,76,76,5.01559,0.155
3,520,77,77,4.48807,0.75274
3,520,78,78,4.67946,0.11282
3,520,79,79,4.88182,0.0753707
3,520,80,80,4.55287,0.050796
3,520,81,81,4.85677,0.0573318
3,520,82,82,7.51831,0.198078
3,520,83,83,4.51228,0.216693
3,520,84,84,5.05269,0.0554261
3,520,85,85,4.67884,0.785105
3,520,86,86,4.64439,0.986148
3,520,87,87,4.52797,0.701935
3,520,88,88,4.48033,0.112786
3,520,89,89,4.9337,0.02782
3,520,90,90,5.34031,0.367833
3,520,91,91,4.51852,0.000506014
3,520,92,92,4.65831,0.0352509
3,520,93,93,4.84169,0.0671006
3,520,94,94,10.3645,1.21395
3,520,95,95,4.43321,0.0267508
3,520,96,96,4.45403,0.13098
3,520,97,97,4.50778,0.252923
3,520,98,98,4.60499,0.254737
3,520,99,99,4.74705,0.00229565
4,565,0,0,4.53173,1.09085
4,565,1,1,4.74534,0.066586
4,565,2,2,4.57493,0.0688129
4,565,3,3,5.3681,1.03756
4,565,4,4,4.67007,0.202238
4,565,5,5,4.71407,0.0932257
4,565,6,6,9.57382,0.958899
4,565,7,7,4.76392,0.388058
4,565,8,8,4.63666,0.0494667
4,565,9,9,4.83257,0.817823
4,565,10,10,4.82264,0.0236892
4,565,11,11,4.77476,0.487675
4,565,12,12,5.16841,0.53296
4,565,13,13,4.89895,0.719027
4,565,14,14,4.54228,0.134169
4,565,15,15,4.53903,0.568389
4,565,16,16,4.55436,0.697397
4,565,17,17,4.4631,0.570549
4,565,18,18,5.66657,0.98532
4,565,19,19,8.96998,1.02349
4,565,20,20,4.50491,0.0741451
4,565,21,21,4.74369,0.015378
4,565,22,22,4.66858,0.223202
4,565,23,23,4.48688,1.05746
4,565,24,24,4.53585,0.814354
4,565,25,25,4.78139,0.887048
4,565,26,26,4.52402,0.669983
4,565,27,27,4.45511,0.800053
4,565,28,28,4.60155,0.987261
4,565,29,29,4.69487,0.00149818
4,565,30,30,4.56431,0.762781
4,565,31,31,4.8203,0.0319473
4,565,32,32,4.47179,0.22344
4,565,33,33,4.56089,0.161488
4,565,34,34,4.94866,0.0108451
4,565,35,35,4.77779,0.107915
4,565,36,36,4.59417,0.0208199
4,565,37,37,4.50829,0.986578
4,565,38,38,4.81675,0.0402497
4,565,39,39,4.53456,0.328775
4,565,40,40,4.62729,0.582505
4,565,41,41,4.60689,0.250234
4,565,42,42,4.52575,0.723125
4,565,43,43,4.48333,0.410402
4,565,44,44,6.36513,0.189548
4,565,45,45,4.75216,0.0119602
4,565,46,46,4.74848,1.16447
4,565,47,47,4.55811,0.065848
4,565,48,48,5.1193,0.746204
4,565,49,49,4.5782,0.749087
4,565,50,50,4.47936,0.0211092
4,565,51,51,4.98163,0.0228818
4,565,52,52,4.71301,0.0148425
4,565,53,53,4.69402,0.0232873
4,565,54,54,4.90305,0.709363
4,565,55,55,4.61882,0.306137
4,565,56,56,4.82668,0.991634
4,565,57,57,4.4832,1.0305
4,565,58,58,4.49388,0.929244
4,565,59,59,4.76345,0.784042
4,565,60,60,4.59403,0.675302
4,565,61,61,4.76439,0.861985
4,565,62,62,4.85813,0.0333608
4,565,63,63,4.65161,0.861613
4,565,64,64,4.96393,0.324922
4,565,65,65,4.50082,0.670384
4,565,66,66,4.76736,0.0776865
4,565,67,67,6.20205,0.339838
4,565,68,68,4.56643,0.176097
4,565,69,69,4.56734,0.938313
4,565,70,70,4.79229,0.982444
4,565,71,71,4.5198,0.440105
4,565,72,72,10.0969,1.62681
4,565,73,73,6.45216,0.825578
4,565,74,74,4.80196,0.176087
4,565,75,75,4.5923,0.223224
4,565,76,76,5.11521,0.150426
4,565,77,77,4.48807,0.75274
4,565,78,78,4.67946,0.11282
4,565,79,79,4.88182,0.0753707
4,565,80,80,4.55148,0.050304
4,565,81,81,4.85677,0.0573318
4,565,82,82,7.51831,0.198078
4,565,83,83,4.51228,0.216693
4,565,84,84,5.05269,0.0554261
4,565,85,85,4.67884,0.785105
4,565,86,86,4.64439,0.986148
4,565,87,87,4.52797,0.701935
4,565,88,88,4.48033,0.112786
4,565,89,89,4.9337,0.02782
4,565,90,90,4.7708,0.620268
4,565,91,91,4.51852,0.000506014
4,565,92,92,4.65831,0.0352509
4,565,93,93,4.84169,0.0671006
4,565,94,94,10.3645,1.21395
4,565,95,95,4.43321,0.0267508
4,565,96,96,4.45403,0.13098
4,565,97,97,4.50778,0.252923
4,565,98,98,4.60499,0.254737
4,565,99,99,4.74705,0.00229565
5,705,0,0,4.52977,1.07141
5,705,1,1,4.68781,0.0874968
5,705,2,2,4.56675,0.0843883
5,705,3,3,5.50519,1.01336
5,705,4,4,4.67694,0.202493
5,705,5,5,4.68181,0.0964606
5,705,6,6,6.3817,1.32638
5,705,7,7,4.75896,0.397617
5,705,8,8,4.63941,0.049495
5,705,9,9,4.85809,0.793389
5,705,10,10,4.81851,0.0258599
5,705,11,11,4.73993,0.491762
5,705,12,12,4.73639,0.707639
5,705,13,13,4.79539,0.794322
5,705,14,14,4.60632,0.15612
5,705,15,15,4.48599,0.540219
5,705,16,16,4.51958,0.648165
5,705,17,17,4.47846,0.588375
5,705,18,18,4.55287,1.21676
5,705,19,19,7.1787,1.52545
5,705,20,20,4.47868,0.117682
5,705,21,21,4.73361,0.0163198
5,705,22,22,4.6759,0.222278
5,705,23,23,4.48743,1.15822
5,705,24,24,4.53489,0.84867
5,705,25,25,4.77914,0.866194
5,705,26,26,4.54234,0.614158
5,705,27,27,4.44113,0.779714
5,705,28,28,4.6032,0.996895
5,705,29,29,4.71385,0.003074
5,705,30,30,4.58086,0.716371
5,705,31,31,4.73033,0.0486647
