real_name,scale_dl,scale_din,gemc,gdwc,femc,fdwc,cemc,cdwc,oemc,odwc
67,30.2168,2.9667,3.72173,100,0.0379864,28.6514,43.7533,100,97.9265,0.989999
68,63.3126,8.66022,63.1664,100,0.000594037,100,12.3291,2.80072,87.2089,81.0185
69,100,3.68582,24.2604,56.0051,50.7937,100,99.116,88.156,1.54376,100
70,0.0723332,3.50297,49.6078,89.0189,65.5362,100,1.37071,0.408386,100,65.5902
71,96.9865,5.88403,36.4489,2.72931,4.77408,100,100,90.8573,73.4311,0.333594
72,33.5184,1.24696,92.9703,100,5.41399,65.3096,0.582543,7.73534,27.147,43.2443
73,0.275501,0.942024,61.5782,65.5418,0.390399,100,97.2451,69.1435,2.94941,26.8838
74,18.8613,7.50804,69.1479,100,1.60202,65.7509,0.48905,1.7401,94.9512,92.6817
75,87.4652,7.68442,58.8725,6.44368,0.0125796,100,33.4956,97.1605,94.727,3.75516
76,79.9786,7.63213,26.5749,49.7684,66.2402,100,10.4596,100,97.5228,100
77,0.0566681,5.08633,53.7238,89.0016,0.815623,100,62.1459,77.39,100,92.596
78,1.33512,0.0191729,48.7788,8.96352,49.1605,0.0244385,76.349,22.7784,0.513164,1.28568
79,3.16616,8.80721,39.3506,32.1484,15.0949,100,47.3118,0.049114,99.8935,92.9517
80,100,2.83316,58.6635,1.03843,55.5689,31.2884,1.02241,100,100,100
81,0.0105978,6.46596,26.468,46.5569,42.2685,24.2756,5.16887,100,25.8116,48.3585
82,11.3146,0.0848552,78.5322,0.718821,51.3689,0.506513,0.757232,0.0601668,0.344727,66.8888
83,65.8757,6.56598,12.5548,100,48.5772,100,62.5343,100,32.5466,100
84,94.711,8.36121,67.3352,100,0.113258,100,8.70749,100,43.7115,8.03376
85,100,3.59728,30.6856,79.4921,55.1527,100,73.2741,0.472527,16.0231,100
86,99.9394,2.90064,24.6317,0.145195,49.7216,100,93.179,88.099,97.8455,100
87,99.108,3.39122,46.6965,84.1179,8.5577,9.75253,100,82.4989,5.91184,96.9319
88,1.76046,0.155044,46.3092,100,49.1111,100,73.5124,0.0015497,1.75977,100
89,2.10847,2.4348,54.3034,17.9901,1.864,100,83.1718,0.423819,99.8353,2.29477
90,1.06034,8.58903,64.8835,100,1.03932,1.76466,5.41307,78.5474,99.8357,59.4353
91,2.65992,0.101258,0.0914671,100,54.8039,48.3882,74.2158,100,99.7836,0.373872
92,6.01101,4.00628,6.69039,6.84674,39.2709,13.9842,7.0504,0.13818,97.8347,34.6405
93,67.2127,7.20283,11.0989,7.36923,48.6637,100,62.0589,86.3077,0.108637,1.09674
94,45.5027,2.95425,75.7244,18.8501,3.20385,100,27.9755,71.6397,0.407962,59.0018
95,80.0027,4.99389,3.52243,100,62.7162,100,78.8169,100,80.4043,1.10242
96,7.38292,3.44779,39.7521,100,36.4186,38.4454,66.7554,73.4263,92.523,30.8968
97,67.8826,6.23328,12.3477,100,16.8445,100,69.9833,87.0628,2.62702,100
98,63.317,5.13538,0.578203,0.406204,13.9916,0.669133,64.1399,0.254716,98.4103,1.87681
base,30.7503,7.18637,39.0087,58.2815,25.3298,45.5797,33.5642,59.9297,37.8529,59.8802
