real_name,din_2009,din_2010,din_2011,din_2012,din_2013,din_2014,din_2015,din_2016,din_2017
0,51.6044,86.2962,41.0109,36.9049,14.7505,8.78402,16.8565,49.1322,9.93783
1,76.3131,124.987,65.1922,56.6944,20.4395,11.3938,23.904,72.7697,11.31
2,73.8664,120.762,62.9968,54.9493,19.9015,11.0973,23.1641,70.3858,11.1319
3,54.9388,92.075,44.0465,39.4632,15.7086,9.351,17.9756,52.3146,10.3472
4,68.2137,116.263,55.5625,48.7588,18.9208,11.3061,22.2766,65.1882,11.7528
5,73.6838,120.238,62.7892,54.849,20.0108,11.1566,23.2,70.087,11.1828
6,35.7157,66.0668,23.7212,22.7852,11.6409,8.01718,13.1902,34.118,10.2329
7,65.1253,112.689,52.022,45.9093,18.4057,11.266,21.6336,62.2749,11.9197
8,68.9332,115.229,57.3163,50.3636,19.0964,11.1025,22.2113,65.7013,11.4688
9,50.8569,86.0136,39.9853,36.0222,14.7426,8.75725,17.0058,48.16,10.2406
10,67.7291,110.729,57.1746,50.1855,18.427,10.3591,21.3121,64.5244,10.6731
11,49.5368,88.1347,36.9905,33.5505,14.8044,9.49777,17.2569,47.2762,11.0786
12,45.4934,87.8528,30.4066,28.0831,14.3707,10.3001,17.0258,43.8981,12.1353
13,47.4215,83.112,35.5669,32.5308,14.1329,9.24794,16.0757,45.6315,10.4282
14,54.232,96.916,40.9566,36.9619,16.1457,10.532,18.7448,52.0056,11.6911
15,42.8911,75.9612,31.2684,29.001,13.1838,8.58006,14.9725,40.9849,10.3112
16,44.7697,76.7553,34.0349,31.157,13.293,8.18279,15.2085,42.503,9.90482
17,49.2607,85.8617,37.2971,33.9229,14.6893,9.29557,16.8107,47.0658,10.6397
18,31.6433,52.7952,22.7454,22.2542,10.3238,6.48085,10.9126,29.9087,8.60315
19,33.9245,58.4439,24.0063,23.0123,10.6685,6.84673,11.8014,32.188,8.96568
20,60.0058,109.782,44.7639,39.8329,17.7399,11.66,21.1801,57.526,12.8437
21,69.5311,113.567,58.856,51.4941,18.715,10.5251,21.7547,66.302,10.6767
22,70.3328,121.587,56.6352,49.5896,19.5897,11.9518,23.1881,67.414,12.2739
23,51.6577,86.756,40.9357,36.8636,14.9726,8.77493,17.1642,48.901,10.2074
24,54.422,92.312,42.9238,38.5069,15.5566,9.58387,17.7901,52.185,10.3684
25,49.5555,83.9937,38.7385,35.0908,14.393,8.78324,16.3955,47.2748,10.0516
26,45.6,78.3506,34.6944,31.6858,13.4762,8.3169,15.4548,43.3445,9.97976
27,47.3807,80.6475,36.6323,33.4298,14.1625,8.5547,16.0804,44.8619,10.1973
28,50.4819,85.1614,39.7891,36.0042,14.6632,8.86823,16.6705,48.0791,10.1096
29,64.6961,105.636,54.6029,47.9912,17.8008,9.5615,20.8437,60.8142,10.7246
30,46.7625,79.937,35.9155,32.822,13.8702,8.60244,15.7006,44.6229,10.0327
31,54.1272,91.6126,42.8928,38.6884,15.6208,9.74783,17.5798,52.0875,10.3646
32,68.815,120.007,54.9814,48.3038,19.6199,11.8449,23.2912,65.4502,12.7183
33,63.8075,115.78,48.5122,43.1326,18.6256,12.4877,21.9054,61.7257,12.9335
34,65.1712,120.561,48.6137,42.9912,18.8728,12.9857,22.5717,63.3333,13.3643
35,59.2492,108.871,43.7989,39.1008,17.6021,11.7371,20.9001,56.9752,12.8042
36,63.7591,103.656,53.6193,47.1407,17.4913,9.4661,20.3751,60.153,10.42
