real_name,din_2009,din_2010,din_2011,din_2012,din_2013,din_2014,din_2015,din_2016,din_2017
76,63.9048,117.304,48.0431,42.6603,18.7593,12.642,22.275,61.728,13.2876
77,56.6327,95.6923,45.4688,40.6118,16.3319,9.5219,18.9327,53.4887,10.8962
78,56.5965,92.254,46.6543,41.5474,15.7466,8.96533,17.955,53.8554,9.78789
79,62.1338,117.01,45.2769,40.1854,18.4904,12.6013,22.3988,59.7616,13.8007
80,61.8672,102.806,50.9648,45.0679,17.1713,9.95099,19.889,58.9208,10.6494
81,57.8051,110.097,41.0403,36.805,17.4009,12.3712,20.8013,56.1807,13.3282
82,45.9404,75.33,36.3511,33.2234,13.1625,8.08592,14.4903,44.274,8.92807
83,63.7256,113.504,49.2632,43.8474,18.6626,12.1001,21.7381,61.3126,12.6342
84,63.5773,113.209,49.487,43.8119,18.535,11.5174,22.0577,60.4523,12.7947
85,64.0932,107.582,52.417,46.3905,18.0289,10.7002,20.752,61.2444,11.1382
86,65.3398,108.713,53.9472,47.6001,18.2092,10.6064,21.0273,62.2763,11.0287
87,61.9262,104.032,50.3822,44.622,17.5483,10.1565,20.3702,58.711,11.1123
88,56.9187,93.088,46.9337,41.9851,16.1756,9.26168,18.2605,54.0582,10.1221
89,67.1166,111.352,55.8947,49.0226,18.5602,10.3587,21.8146,63.3951,11.2344
90,49.0816,94.416,33.5867,30.7417,15.3861,10.8188,18.3364,47.1193,12.6775
91,63.1943,103.244,52.6608,46.8069,17.7054,10.3201,19.9108,60.4033,10.4472
92,60.9642,109.657,46.3445,41.2002,17.5266,11.709,20.6432,59.0769,12.1688
93,64.6976,118.76,48.5613,43.0534,18.9699,12.8042,22.5178,62.5848,13.3363
94,34.2321,60.6095,23.5679,22.6875,10.997,7.32874,12.1821,32.6794,9.39992
95,61.8247,107.394,48.7513,43.5063,17.9796,11.3364,20.6725,59.3161,11.8513
96,60.1898,101.103,48.8888,43.4837,17.1293,10.0403,19.7482,57.1546,10.9595
97,58.366,103.879,44.5396,39.9476,17.3487,11.1799,20.1262,55.9368,12.1229
98,58.6482,104.035,44.8567,39.9245,16.9642,10.829,20.0259,56.1799,11.8104
99,66.004,110.245,54.4679,47.8851,18.4207,10.4547,21.5706,62.4914,11.3077
