,Q (m3/s),Mod_load(t),Obs_load(t)
2009/10/24,0.01692569,0.05843504,0.03430
2009/10/25,0.016869402,0.058247334,0.02850
2009/10/26,0.016878247,0.058237173,0.02570
2009/10/27,0.088953562,0.163979107,0.02890
2009/10/28,0.105026741,0.16115589,0.02870
2009/10/29,0.094245279,0.136687052,0.03010
2009/10/30,0.132208084,0.190532402,0.03190
2009/10/31,0.145860431,0.195029993,0.03160
2009/11/1,0.084494701,0.128921825,0.02780
2009/11/2,0.056237479,0.103947873,0.02200
2009/11/3,0.039243708,0.084153315,0.02300
2009/11/4,0.029425037,0.071290655,0.02270
2009/11/5,0.023922193,0.063957759,0.02130
2009/11/6,0.022997147,0.069257199,0.02270
2009/11/7,0.060565033,0.235430217,0.03470
2009/11/8,0.052541858,0.209632398,0.03660
2009/11/9,0.222823784,6.909704707,0.10240
2009/11/10,1.049153183,69.11389952,0.75510
2009/11/11,1.755539827,70.89140501,1.30490
2009/11/12,0.901523125,26.87337096,0.70550
2009/11/13,0.501368474,12.3610195,0.39910
2009/11/14,0.356035314,6.411329577,0.23790
2009/11/15,0.288703762,3.603141386,0.14890
2009/11/16,0.256325474,2.276310818,0.10670
2009/11/17,0.239903991,1.627067278,0.08760
2009/11/18,0.228097871,1.28381517,0.07930
2009/11/19,0.219769085,1.097126983,0.06640
2009/11/20,0.212876365,0.988700147,0.05280
2009/11/21,0.206611489,0.920308839,0.04190
2009/11/22,0.200764626,0.873185939,0.03940
2009/11/23,0.195155014,0.837341129,0.03760
2009/11/24,0.200013826,0.852784815,0.03770
2009/11/25,0.188380569,0.799546033,0.03550
2009/11/26,0.18160873,0.768018824,0.03330
2009/11/27,0.175964714,0.742096864,0.03240
2009/11/28,0.17058047,0.718162308,0.03300
2009/11/29,0.165653304,0.696466766,0.03440
2009/11/30,0.160960357,0.675979977,0.03430
2009/12/1,0.156510246,0.656620807,0.02680
2009/12/2,0.1523147,0.638364513,0.02680
2009/12/3,0.148335115,0.621043183,0.02660
2009/12/4,0.217886307,0.884274307,0.02270
2009/12/5,0.241869871,1.007510399,0.01960
2009/12/6,0.18042103,0.781290243,0.02000
2009/12/7,0.154865244,0.665978862,0.02120
2009/12/8,0.14032601,0.596822278,0.66820
2009/12/9,0.131391625,0.554429698,0.17380
2009/12/10,0.12537574,0.526114531,0.08720
2009/12/11,0.120935245,0.505411825,0.04860
2009/12/12,0.117247416,0.488526506,0.03940
2009/12/13,0.113948956,0.473690078,0.03130
2009/12/14,0.111066365,0.460762886,0.02620
2009/12/15,0.126487057,0.518323407,0.02550
2009/12/16,0.124037387,0.509898997,0.02570
2009/12/17,0.116938638,0.478727305,0.02440
2009/12/18,0.114668486,0.467928571,0.02600
2009/12/19,0.107405871,0.440479838,0.02260
2009/12/20,0.100425794,0.413802063,0.02070
2009/12/21,0.276110521,8.286170545,0.02380
2009/12/22,0.156065698,0.860472132,0.02530
2009/12/23,0.123758789,0.54394863,0.02240
2009/12/24,0.105339582,0.448825542,0.02840
2009/12/25,0.097103964,0.404758114,0.02740
2009/12/26,0.087952553,0.364942334,0.02570
2009/12/27,0.09909715,0.404834315,0.02830
2009/12/28,0.226365111,0.974987726,0.03030
2009/12/29,0.586216669,36.09956731,2.92740
2009/12/30,40.19720853,570.4365812,13.01270
2009/12/31,24.56171468,215.8971737,10.63570
2010/1/1,16.88813337,107.2764322,5.05530
2010/1/2,13.15163657,77.47461995,4.72220
2010/1/3,7.446225553,31.99644336,1.89010
2010/1/4,4.043243515,15.81283338,0.94530
2010/1/5,2.372651087,8.878246284,0.74320
2010/1/6,1.619534622,5.985033657,1.27900
2010/1/7,1.322143802,4.87042814,1.70740
2010/1/8,1.255282852,4.571952938,3.14430
2010/1/9,4.637277402,47.85992725,41.32230
2010/1/10,10.76031821,76.86658179,65.96240
2010/1/11,8.108949559,39.39781657,32.03100
2010/1/12,4.931474556,21.77312341,17.55410
2010/1/13,3.071951139,12.85572556,11.10490
2010/1/14,2.091300414,8.486558443,10.23220
2010/1/15,1.587396951,6.373635106,7.38020
2010/1/16,1.324481938,5.315873745,6.49580
2010/1/17,1.165944099,4.709560521,6.51090
2010/1/18,1.07803976,4.368607103,6.04280
2010/1/19,1.021942267,4.146072223,18.14130
2010/1/20,0.982105797,3.983090739,10.06270
2010/1/21,0.948979985,3.845237957,6.79270
2010/1/22,0.919850107,3.72261997,5.70830
2010/1/23,0.894279064,3.611401699,5.39920
