"","flow","conc"
"1",0.2224,0.0015
"2",0.2224,0.00151521739130435
"3",0.2224,0.0015304347826087
"4",0.2224,0.00154565217391304
"5",0.222,0.00156086956521739
"6",0.2212,0.00157608695652174
"7",0.2204,0.00159130434782609
"8",0.2197,0.00160652173913043
"9",0.2189,0.00162173913043478
"10",0.2181,0.00163695652173913
"11",0.2173,0.00165217391304348
"12",0.2166,0.00166739130434783
"13",0.2162,0.00168260869565217
"14",0.2162,0.00169782608695652
"15",0.2162,0.00171304347826087
"16",0.2162,0.00172826086956522
"17",0.2154,0.00174347826086957
"18",0.2139,0.00175869565217391
"19",0.2124,0.00177391304347826
"20",0.2108,0.00178913043478261
"21",0.2101,0.00180434782608696
"22",0.2101,0.0018195652173913
"23",0.2101,0.00183478260869565
"24",0.2101,0.00185
"25",0.2101,0.00186521739130435
"26",0.2101,0.0018804347826087
"27",0.2101,0.00189565217391304
"28",0.2101,0.00191086956521739
"29",0.2108,0.00192608695652174
"30",0.2124,0.00194130434782609
"31",0.2139,0.00195652173913043
"32",0.2154,0.00197173913043478
"33",0.217,0.00198695652173913
"34",0.2185,0.00200217391304348
"35",0.22,0.00201739130434783
"36",0.2216,0.00203260869565217
"37",0.2228,0.00204782608695652
"38",0.2235,0.00206304347826087
"39",0.2243,0.00207826086956522
"40",0.225,0.00209347826086957
"41",0.228,0.00210869565217391
"42",0.2285,0.00212391304347826
"43",0.2285,0.00213913043478261
"44",0.2285,0.00215434782608696
"45",0.2293,0.0021695652173913
"46",0.2309,0.00218478260869565
"47",0.2325,0.0022
"48",0.2341,0.00221521739130435
"49",0.2345,0.0022304347826087
"50",0.2337,0.00224565217391304
"51",0.2329,0.00226086956521739
"52",0.2321,0.00227608695652174
"53",0.2317,0.00229130434782609
"54",0.2317,0.00230652173913043
"55",0.2317,0.00232173913043478
"56",0.2317,0.00233695652173913
"57",0.2309,0.00235217391304348
"58",0.2294,0.00236739130434783
"59",0.2278,0.00238260869565217
"60",0.2262,0.00239782608695652
"61",0.2247,0.00241304347826087
"62",0.2231,0.00242826086956522
"63",0.2216,0.00244347826086957
"64",0.22,0.00245869565217391
"65",0.2185,0.00247391304347826
"66",0.217,0.00248913043478261
"67",0.2155,0.00250434782608696
"68",0.2139,0.0025195652173913
"69",0.2124,0.00253478260869565
"70",0.2109,0.00255
"71",0.2094,0.00256521739130435
"72",0.2079,0.0025804347826087
"73",0.2072,0.00259565217391304
"74",0.2072,0.00261086956521739
"75",0.2072,0.00262608695652174
"76",0.2072,0.00264130434782609
"77",0.2072,0.00265652173913044
"78",0.2072,0.00267173913043478
"79",0.2072,0.00268695652173913
"80",0.2072,0.00270217391304348
"81",0.2064,0.00271739130434783
"82",0.2049,0.00273260869565217
"83",0.2034,0.00274782608695652
"84",0.2019,0.00276304347826087
"85",0.1983,0.00277826086956522
"86",0.1958,0.00279347826086956
"87",0.1968,0.00280869565217391
"88",0.1977,0.00282391304347826
"89",0.1975,0.00283913043478261
"90",0.1961,0.00285434782608696
"91",0.1946,0.0028695652173913
"92",0.1932,0.00288478260869565
"93",0.1925,0.0029
"94",0.1925,0.00291521739130435
"95",0.1925,0.0029304347826087
"96",0.1925,0.00294565217391304
"97",0.1925,0.00296086956521739
"98",0.1925,0.00297608695652174
"99",0.1925,0.00299130434782609
"100",0.1925,0.00300652173913043
"101",0.1928,0.00302173913043478
"102",0.1935,0.00303695652173913
"103",0.1943,0.00305217391304348
"104",0.195,0.00306739130434783
"105",0.195,0.00308260869565217
"106",0.1943,0.00309782608695652
"107",0.1935,0.00311304347826087
"108",0.1928,0.00312826086956522
"109",0.198,0.00314347826086957
"110",0.2094,0.00315869565217391
"111",0.221,0.00317391304347826
"112",0.2354,0.00318913043478261
"113",0.2679,0.00320434782608696
"114",0.2699,0.0032195652173913
"115",0.2689,0.00323478260869565
"116",0.268,0.00325
"117",0.2604,0.00326521739130435
"118",0.2464,0.0032804347826087
"119",0.2335,0.00329565217391304
"120",0.2239,0.00331086956521739
"121",0.217,0.00332608695652174
"122",0.2124,0.00334130434782609
"123",0.2079,0.00335652173913044
"124",0.2034,0.00337173913043478
"125",0.2027,0.00338695652173913
"126",0.2056,0.00340217391304348
"127",0.2086,0.00341739130434783
"128",0.2116,0.00343260869565217
"129",0.2212,0.00344782608695652
"130",0.2368,0.00346304347826087
"131",0.2499,0.00347826086956522
"132",0.2632,0.00349347826086957
"133",0.2823,0.00350869565217391
"134",0.3061,0.00352391304347826
"135",0.3384,0.00353913043478261
"136",0.3659,0.00355434782608696
"137",0.3712,0.0035695652173913
"138",0.3585,0.00358478260869565
"139",0.3461,0.0036
"140",0.3338,0.00361521739130435
"141",0.3204,0.0036304347826087
"142",0.3071,0.00364565217391304
"143",0.2952,0.00366086956521739
"144",0.2836,0.00367608695652174
"145",0.2735,0.00369130434782609
"146",0.2668,0.00370652173913043
"147",0.2604,0.00372173913043478
"148",0.2541,0.00373695652173913
"149",0.2481,0.00375217391304348
"150",0.2426,0.00376739130434783
"151",0.2379,0.00378260869565217
"152",0.2358,0.00379782608695652
"153",0.2337,0.00381304347826087
"154",0.2313,0.00382826086956522
"155",0.2289,0.00384347826086957
"156",0.2266,0.00385869565217391
"157",0.2242,0.00387391304347826
"158",0.2219,0.00388913043478261
"159",0.2196,0.00390434782608696
"160",0.2173,0.0039195652173913
"161",0.2141,0.00393478260869565
"162",0.2099,0.00395
"163",0.2078,0.00396521739130435
"164",0.2093,0.0039804347826087
"165",0.2093,0.00399565217391304
"166",0.2079,0.00401086956521739
