parameter,value,lower,upper
SCALE_DL,63.317012395944630043,0,0.5
SCALE_DIN,5.135376785505194E+000,0,1
gEMC,.5782028682470656,0,0.5
gDWC,.4062035265132098,0,0.1
fEMC,13.99161116772703,0,0.5
fDWC,.6691327581383071,0,0.1
cEMC,64.13987271325944,0,0.5
cDWC,.2547163786412389,0,0.1
oEMC,98.41034461734395,0,1
oDWC,1.876808765888468,0,0.2
