date,Loads (kg),Concentration (mg/L),Flow (ML),Q (m3/s),Load (t)
9/11/2010,64.039,0.568275801,112.69,1.3043,0.064039
10/11/2010,55.147,0.542892302,101.58,1.1756,0.055147
11/11/2010,128.96,0.549912584,234.51,2.7142,0.12896
12/11/2010,127.5,0.653343582,195.15,2.2587,0.1275
13/11/2010,203.59,0.770444655,264.25,3.0584,0.20359
14/11/2010,211.9,0.880093035,240.77,2.7867,0.2119
15/11/2010,631.73,1.024969984,616.34,7.1336,0.63173
16/11/2010,1913.1,1.097804506,1742.66,20.1697,1.9131
17/11/2010,662.95,0.765734548,865.77,10.0205,0.66295
18/11/2010,525.89,0.53491944,983.12,11.3787,0.52589
19/11/2010,900.7,0.542521729,1660.21,19.2154,0.9007
20/11/2010,4036.6,0.417134271,9676.98,112.002,4.0366
21/11/2010,3081.2,0.223686102,13774.66,159.429,3.0812
22/11/2010,1206.2,0.138908402,8683.42,100.5025,1.2062
23/11/2010,623.5,0.141286146,4413.03,51.0767,0.6235
24/11/2010,576,0.128687477,4475.96,51.8051,0.576
25/11/2010,259.19,0.095744524,2707.1,31.3322,0.25919
26/11/2010,173.85,0.111884827,1553.83,17.9842,0.17385
27/11/2010,106.23,0.161443769,658,7.6157,0.10623
28/11/2010,95.05,0.215449827,441.17,5.1062,0.09505
29/11/2010,126.37,0.260175825,485.71,5.6216,0.12637
30/11/2010,1371.2,0.193185533,7097.84,82.1509,1.3712
1/12/2010,1252.4,0.09699309,12912.26,149.4475,1.2524
2/12/2010,306.85,0.056874418,5395.22,62.4447,0.30685
3/12/2010,1886.4,0.072635589,25970.74,300.5873,1.8864
4/12/2010,1053.7,0.099711945,10567.44,122.3083,1.0537
5/12/2010,443.62,0.150302726,2951.51,34.1611,0.44362
6/12/2010,457.02,0.146453075,3120.59,36.1179,0.45702
7/12/2010,491.4,0.092932655,5287.7,61.2003,0.4914
8/12/2010,186.35,0.096502403,1931.04,22.35,0.18635
9/12/2010,111.58,0.134630003,828.79,9.5924,0.11158
10/12/2010,53.859,0.127181921,423.48,4.9013,0.053859
11/12/2010,77.36,0.115926392,667.32,7.7236,0.07736
12/12/2010,204.73,0.100195762,2043.3,23.6493,0.20473
13/12/2010,178.7,0.098947951,1806,20.9027,0.1787
14/12/2010,129.99,0.140214437,927.08,10.7301,0.12999
15/12/2010,117.74,0.20090436,586.05,6.783,0.11774
16/12/2010,54.43,0.267640262,203.37,2.3538,0.05443
17/12/2010,36.34,0.333670003,108.91,1.2606,0.03634
18/12/2010,31.32,0.400357919,78.23,0.9054,0.03132
19/12/2010,33.57,0.469444833,71.51,0.8277,0.03357
20/12/2010,258.5,0.54206509,476.88,5.5194,0.2585
21/12/2010,518.2,0.543027204,954.28,11.045,0.5182
22/12/2010,222.72,0.456197128,488.21,5.6506,0.22272
23/12/2010,174.66,0.384857766,453.83,5.2526,0.17466
24/12/2010,2144.6,0.282337639,7595.87,87.9152,2.1446
25/12/2010,5445.4,0.209735641,25963.16,300.4996,5.4454
26/12/2010,7020.3,0.207343485,33858.31,391.8786,7.0203
27/12/2010,2561.4,0.203760347,12570.65,145.4936,2.5614
28/12/2010,2225,0.200563199,11093.76,128.4,2.225
29/12/2010,898.2,0.19730989,4552.23,52.6878,0.8982
30/12/2010,1938.1,0.193214128,10030.84,116.0977,1.9381
31/12/2010,1611.5,0.190663803,8452.05,97.8246,1.6115
1/01/2011,419.12,0.18721245,2238.74,25.9114,0.41912
2/01/2011,394.26,0.18292666,2155.29,24.9454,0.39426
3/01/2011,736.6,0.180322652,4084.9,47.2789,0.7366
4/01/2011,856.1,0.177115832,4833.56,55.944,0.8561
5/01/2011,312.39,0.17381265,1797.28,20.8019,0.31239
6/01/2011,759.5,0.169740394,4474.48,51.7879,0.7595
7/01/2011,800.1,0.16744589,4778.26,55.3039,0.8001
8/01/2011,233.34,0.163993647,1422.86,16.4682,0.23334
9/01/2011,107.51,0.16032629,670.57,7.7612,0.10751
10/01/2011,76.98,0.157002713,490.31,5.6748,0.07698
11/01/2011,58.232,0.153573501,379.18,4.3886,0.058232
12/01/2011,76.93,0.149963937,512.99,5.9374,0.07693
13/01/2011,348.25,0.146413962,2378.53,27.5293,0.34825
14/01/2011,206.71,0.148674794,1390.35,16.092,0.20671
15/01/2011,101.36,0.180906316,560.29,6.4848,0.10136
16/01/2011,87.464,0.215742088,405.41,4.6922,0.087464
17/01/2011,76.401,0.250503295,304.99,3.53,0.076401
18/01/2011,87.759,0.288131197,304.58,3.5252,0.087759
19/01/2011,254.01,0.282569277,898.93,10.4043,0.25401
20/01/2011,202.91,0.295146111,687.49,7.9571,0.20291
21/01/2011,140.63,0.318506104,441.53,5.1103,0.14063
22/01/2011,112.47,0.334702259,336.03,3.8892,0.11247
23/01/2011,93.24,0.350684519,265.88,3.0773,0.09324
24/01/2011,75.92,0.366816447,206.97,2.3955,0.07592
25/01/2011,67.15,0.383341896,175.17,2.0274,0.06715
26/01/2011,59.66,0.398850114,149.58,1.7312,0.05966
27/01/2011,55.53,0.41545713,133.66,1.547,0.05553
28/01/2011,53.22,0.431875355,123.23,1.4262,0.05322
29/01/2011,50.16,0.447777183,112.02,1.2966,0.05016
30/01/2011,339.1,0.470103836,721.33,8.3488,0.3391
31/01/2011,5750.4,0.421494891,13642.87,157.9036,5.7504
1/02/2011,1003.6,0.155890796,6437.84,74.512,1.0036
2/02/2011,326.24,0.121112225,2693.7,31.1771,0.32624
3/02/2011,922.5,0.104532459,8825.01,102.1413,0.9225
4/02/2011,357.75,0.106934049,3345.52,38.7212,0.35775
5/02/2011,209.28,0.090836093,2303.93,26.6659,0.20928
6/02/2011,334.42,0.071968735,4646.74,53.7817,0.33442
7/02/2011,178.37,0.084944567,2099.84,24.3037,0.17837
8/02/2011,229.3,0.180244623,1272.16,14.7241,0.2293
9/02/2011,187.7,0.201312769,932.38,10.7914,0.1877
10/02/2011,108.555,0.162714532,667.15,7.7216,0.108555
11/02/2011,496.49,0.11209018,4429.38,51.266,0.49649
12/02/2011,151.42,0.092654123,1634.25,18.9149,0.15142
13/02/2011,184.23,0.113007207,1630.25,18.8686,0.18423
14/02/2011,202.64,0.129658067,1562.88,18.0889,0.20264
15/02/2011,165.51,0.112674618,1468.92,17.0014,0.16551
16/02/2011,405.88,0.091631316,4429.49,51.2673,0.40588
17/02/2011,261.05,0.15478068,1686.58,19.5206,0.26105
18/02/2011,170.59,0.170844558,998.51,11.5568,0.17059
19/02/2011,88.754,0.182448711,486.46,5.6303,0.088754
20/02/2011,219.33,0.195954578,1119.29,12.9547,0.21933
21/02/2011,126.152,0.208964718,603.7,6.9873,0.126152
22/02/2011,116.983,0.223599908,523.18,6.0553,0.116983
23/02/2011,245.49,0.164916665,1488.57,17.2288,0.24549
24/02/2011,176.28,0.174355119,1011.04,11.7019,0.17628
25/02/2011,147.528,0.285238104,517.21,5.9862,0.147528
26/02/2011,148.16,0.389004122,380.87,4.4083,0.14816
27/02/2011,152.56,0.491447347,310.43,3.5929,0.15256
28/02/2011,139.046,0.527508631,263.59,3.0508,0.139046
1/03/2011,275.95,0.261891656,1053.68,12.1953,0.27595
2/03/2011,146.13,0.177333625,824.04,9.5375,0.14613
3/03/2011,94.384,0.193564529,487.61,5.6436,0.094384
4/03/2011,101.533,0.204616997,496.21,5.7432,0.101533
5/03/2011,115.176,0.214448499,537.08,6.2162,0.115176
6/03/2011,69.964,0.22651601,308.87,3.5749,0.069964
7/03/2011,199.52,0.203916438,978.44,11.3245,0.19952
8/03/2011,156.18,0.177834964,878.23,10.1646,0.15618
9/03/2011,86.7,0.170696173,507.92,5.8787,0.0867
10/03/2011,63.471,0.149129485,425.61,4.926,0.063471
11/03/2011,41.575,0.127687346,325.6,3.7685,0.041575
12/03/2011,263.63,0.103647293,2543.53,29.439,0.26363
13/03/2011,360.72,0.082803644,4356.33,50.4205,0.36072
14/03/2011,1081.1,0.036553138,29576.12,342.3162,1.0811
15/03/2011,1406.1,0.048276255,29126.12,337.1079,1.4061
16/03/2011,742.5,0.068570637,10828.25,125.3269,0.7425
17/03/2011,473.24,0.119756357,3951.69,45.7371,0.47324
18/03/2011,513.54,0.168102602,3054.92,35.3579,0.51354
19/03/2011,426.28,0.15891798,2682.39,31.0461,0.42628
20/03/2011,364.82,0.141060837,2586.26,29.9335,0.36482
21/03/2011,327.29,0.126681788,2583.56,29.9024,0.32729
22/03/2011,324.86,0.109967334,2954.15,34.1916,0.32486
23/03/2011,155.29,0.096083406,1616.2,18.706,0.15529
24/03/2011,324.28,0.0738045,4393.77,50.8539,0.32428
25/03/2011,635.6,0.062326068,10197.98,118.0322,0.6356
26/03/2011,478.5,0.058761189,8143.13,94.2492,0.4785
27/03/2011,120.57,0.055084475,2188.82,25.3336,0.12057
28/03/2011,164.1,0.05056294,3245.46,37.5632,0.1641
29/03/2011,678.7,0.05160581,13151.62,152.2179,0.6787
30/03/2011,898.9,0.058043166,15486.75,179.2448,0.8989
31/03/2011,1636.1,0.045188044,36206.48,419.0565,1.6361
1/04/2011,912.5,0.055766773,16362.79,189.3841,0.9125
2/04/2011,1164,0.078575382,14813.8,171.456,1.164
3/04/2011,489.69,0.104936195,4666.55,54.011,0.48969
4/04/2011,543.97,0.136965986,3971.57,45.9672,0.54397
5/04/2011,408.28,0.20182806,2022.91,23.4133,0.40828
6/04/2011,306.96,0.225268596,1362.64,15.7713,0.30696
7/04/2011,178.984,0.242506029,738.06,8.5424,0.178984
8/04/2011,189.484,0.259613356,729.87,8.4476,0.189484
9/04/2011,142.983,0.276975379,516.23,5.9748,0.142983
10/04/2011,131.392,0.2943567,446.37,5.1663,0.131392
11/04/2011,123.118,0.311399449,395.37,4.576,0.123118
12/04/2011,111.544,0.328805565,339.24,3.9264,0.111544
13/04/2011,105.24,0.345899753,304.25,3.5215,0.10524
14/04/2011,100.945,0.36295484,278.12,3.219,0.100945
15/04/2011,96.773,0.380232604,254.51,2.9457,0.096773
16/04/2011,92.412,0.397488064,232.49,2.6909,0.092412
17/04/2011,85.888,0.414477367,207.22,2.3983,0.085888
18/04/2011,139.753,0.434366258,321.74,3.7238,0.139753
19/04/2011,218.261,0.447834294,487.37,5.6409,0.218261
20/04/2011,133.861,0.465846529,287.35,3.3258,0.133861
21/04/2011,112.441,0.483762853,232.43,2.6901,0.112441
22/04/2011,95.606,0.500423973,191.05,2.2112,0.095606
23/04/2011,85.519,0.517575501,165.23,1.9124,0.085519
24/04/2011,79.063,0.535040942,147.77,1.7103,0.079063
25/04/2011,74.786,0.552333826,135.4,1.5671,0.074786
26/04/2011,72.788,0.569546166,127.8,1.4792,0.072788
27/04/2011,71.002,0.586405682,121.08,1.4014,0.071002
28/04/2011,71.382,0.604010831,118.18,1.3678,0.071382
29/04/2011,69.807,0.62094823,112.42,1.3012,0.069807
30/04/2011,66.896,0.63746903,104.94,1.2146,0.066896
1/05/2011,65.53,0.655365537,99.99,1.1573,0.06553
2/05/2011,64.168,0.672832128,95.37,1.1038,0.064168
3/05/2011,64.044,0.68990628,92.83,1.0744,0.064044
4/05/2011,62.996,0.706629277,89.15,1.0318,0.062996
5/05/2011,61.331,0.723755015,84.74,0.9808,0.061331
6/05/2011,59.872,0.741357107,80.76,0.9348,0.059872
7/05/2011,59.754,0.758299492,78.8,0.9121,0.059754
8/05/2011,62.926,0.775428219,81.15,0.9392,0.062926
9/05/2011,66.302,0.792801626,83.63,0.968,0.066302
10/05/2011,66.183,0.810172604,81.69,0.9454,0.066183
11/05/2011,61.853,0.827243547,74.77,0.8654,0.061853
12/05/2011,58.04,0.843727286,68.79,0.7962,0.05804
13/05/2011,56.282,0.860844295,65.38,0.7567,0.056282
14/05/2011,56.988,0.878901912,64.84,0.7504,0.056988
15/05/2011,55.746,0.895086705,62.28,0.7208,0.055746
16/05/2011,54.093,0.912962025,59.25,0.6858,0.054093
17/05/2011,54.186,0.929912476,58.27,0.6745,0.054186
18/05/2011,51.715,0.946467789,54.64,0.6325,0.051715
19/05/2011,51.705,0.964465585,53.61,0.6205,0.051705
20/05/2011,54.568,0.982145428,55.56,0.6431,0.054568
21/05/2011,55.997,0.997452797,56.14,0.6497,0.055997
22/05/2011,55.168,1.015611193,54.32,0.6288,0.055168
23/05/2011,63.773,1.03309574,61.73,0.7145,0.063773
24/05/2011,103.64,1.050902454,98.62,1.1414,0.10364
25/05/2011,95.728,1.067320772,89.69,1.0381,0.095728
26/05/2011,73.661,1.086445428,67.8,0.7847,0.073661
27/05/2011,65.946,1.106105334,59.62,0.69,0.065946
28/05/2011,61.619,1.124844834,54.78,0.634,0.061619
29/05/2011,59.751,1.144874497,52.19,0.604,0.059751
30/05/2011,57.067,1.164395021,49.01,0.5672,0.057067
31/05/2011,77.388,1.183664729,65.38,0.7568,0.077388
1/06/2011,62.953,1.200019062,52.46,0.6072,0.062953
2/06/2011,56.8,1.219931271,46.56,0.5389,0.0568
3/06/2011,55.247,1.239277703,44.58,0.5159,0.055247
4/06/2011,54.515,1.257554787,43.35,0.5017,0.054515
5/06/2011,55.211,1.276850139,43.24,0.5005,0.055211
6/06/2011,58.354,1.296467452,45.01,0.5209,0.058354
7/06/2011,59.254,1.315294118,45.05,0.5215,0.059254
8/06/2011,60.154,1.333791574,45.1,0.5219,0.060154
9/06/2011,59.321,1.353433721,43.83,0.5073,0.059321
10/06/2011,61.85,1.373528759,45.03,0.5212,0.06185
11/06/2011,79.15,1.392505278,56.84,0.6579,0.07915
12/06/2011,175.773,1.411604562,124.52,1.4412,0.175773
13/06/2011,127.163,1.429922411,88.93,1.0293,0.127163
14/06/2011,94.255,1.448294407,65.08,0.7532,0.094255
15/06/2011,81.612,1.467577774,55.61,0.6437,0.081612
16/06/2011,73.859,1.487892828,49.64,0.5745,0.073859
17/06/2011,68.045,1.505753485,45.19,0.5231,0.068045
18/06/2011,64.775,1.526272385,42.44,0.4912,0.064775
19/06/2011,60.8961,1.545978675,39.39,0.456,0.0608961
20/06/2011,60.9849,1.56411644,38.99,0.4513,0.0609849
21/06/2011,62.801,1.582686492,39.68,0.4592,0.062801
22/06/2011,65.227,1.601055474,40.74,0.4715,0.065227
23/06/2011,62.9772,1.622705488,38.81,0.4492,0.0629772
24/06/2011,61.9499,1.639753838,37.78,0.4372,0.0619499
25/06/2011,60.6182,1.658500684,36.55,0.4231,0.0606182
26/06/2011,58.4742,1.681742882,34.77,0.4025,0.0584742
27/06/2011,59.7831,1.69741908,35.22,0.4077,0.0597831
28/06/2011,63.4252,1.716049784,36.96,0.4278,0.0634252
29/06/2011,60.8013,1.573125485,38.65,0.4473,0.0608013
30/06/2011,22.618,0.548714216,41.22,0.4771,0.022618
1/07/2011,0.7,0.016336056,42.85,0.496,0.0007
2/07/2011,1.1,0.028586279,38.48,0.4454,0.0011
3/07/2011,1.6,0.041386446,38.66,0.4475,0.0016
4/07/2011,1.8,0.051209104,35.15,0.4069,0.0018
5/07/2011,2.2,0.065185185,33.75,0.3907,0.0022
6/07/2011,2.5,0.077930175,32.08,0.3713,0.0025
7/07/2011,2.8,0.089542693,31.27,0.3619,0.0028
8/07/2011,3.1,0.103058511,30.08,0.3481,0.0031
9/07/2011,3.3,0.11574886,28.51,0.33,0.0033
10/07/2011,3.6,0.129589633,27.78,0.3215,0.0036
11/07/2011,4.1,0.140796703,29.12,0.337,0.0041
12/07/2011,4.5,0.152232747,29.56,0.3422,0.0045
13/07/2011,4.8,0.16276704,29.49,0.3413,0.0048
14/07/2011,5,0.174641984,28.63,0.3314,0.005
15/07/2011,5.3,0.188210227,28.16,0.3259,0.0053
16/07/2011,5.9,0.199324324,29.6,0.3426,0.0059
17/07/2011,6.3,0.214285714,29.4,0.3403,0.0063
18/07/2011,6.6,0.229405631,28.77,0.333,0.0066
19/07/2011,7,0.241462573,28.99,0.3355,0.007
20/07/2011,6.7,0.252544289,26.53,0.3071,0.0067
21/07/2011,7.1,0.267319277,26.56,0.3074,0.0071
22/07/2011,7.3,0.28087726,25.99,0.3008,0.0073
23/07/2011,7.5,0.296091591,25.33,0.2932,0.0075
24/07/2011,7.3,0.306851618,23.79,0.2754,0.0073
25/07/2011,7.1,0.320541761,22.15,0.2564,0.0071
26/07/2011,7.9,0.334887664,23.59,0.273,0.0079
27/07/2011,8.3,0.345257903,24.04,0.2782,0.0083
28/07/2011,8.5,0.361702128,23.5,0.272,0.0085
29/07/2011,8.7,0.372750643,23.34,0.2701,0.0087
30/07/2011,8,0.38647343,20.7,0.2396,0.008
31/07/2011,7.9,0.406169666,19.45,0.2251,0.0079
1/08/2011,7.8,0.418679549,18.63,0.2156,0.0078
2/08/2011,7.9,0.430283224,18.36,0.2126,0.0079
3/08/2011,8,0.449185851,17.81,0.2061,0.008
4/08/2011,8.3,0.459324848,18.07,0.2091,0.0083
5/08/2011,9.8,0.469573551,20.87,0.2416,0.0098
6/08/2011,9.1,0.487674169,18.66,0.216,0.0091
7/08/2011,9.3,0.498659517,18.65,0.2159,0.0093
8/08/2011,9.4,0.518191841,18.14,0.2099,0.0094
9/08/2011,9.2,0.526617058,17.47,0.2022,0.0092
10/08/2011,9.5,0.542237443,17.52,0.2027,0.0095
11/08/2011,9.4,0.557202134,16.87,0.1952,0.0094
12/08/2011,9,0.572883514,15.71,0.1819,0.009
13/08/2011,9,0.586319218,15.35,0.1777,0.009
14/08/2011,9.4,0.601023018,15.64,0.181,0.0094
15/08/2011,9.9,0.619912336,15.97,0.1848,0.0099
16/08/2011,9.9,0.629770992,15.72,0.182,0.0099
17/08/2011,10.6,0.642424242,16.5,0.1909,0.0106
18/08/2011,11,0.647820966,16.98,0.1965,0.011
19/08/2011,10.6,0.668769716,15.85,0.1834,0.0106
20/08/2011,10.3,0.684840426,15.04,0.1741,0.0103
21/08/2011,12.8,0.67940552,18.84,0.2181,0.0128
22/08/2011,10.7,0.715240642,14.96,0.1732,0.0107
23/08/2011,9.8,0.734082397,13.35,0.1545,0.0098
24/08/2011,10,0.746268657,13.4,0.1551,0.01
25/08/2011,10.7,0.758327427,14.11,0.1633,0.0107
26/08/2011,11.4,0.769750169,14.81,0.1714,0.0114
27/08/2011,11.5,0.779132791,14.76,0.1708,0.0115
28/08/2011,11.6,0.795610425,14.58,0.1688,0.0116
29/08/2011,19.6,0.753266718,26.02,0.3012,0.0196
30/08/2011,27.2,0.735731674,36.97,0.4279,0.0272
31/08/2011,19.8,0.78044935,25.37,0.2937,0.0198
1/09/2011,19.1,0.800502934,23.86,0.2762,0.0191
2/09/2011,18.7,0.81445993,22.96,0.2658,0.0187
3/09/2011,17.2,0.836169178,20.57,0.2381,0.0172
4/09/2011,16.2,0.858050847,18.88,0.2185,0.0162
5/09/2011,16.4,0.869565217,18.86,0.2182,0.0164
6/09/2011,16,0.890868597,17.96,0.2078,0.016
7/09/2011,15.6,0.912280702,17.1,0.1979,0.0156
8/09/2011,15.8,0.919139034,17.19,0.1989,0.0158
9/09/2011,13.7,0.9527121,14.38,0.1664,0.0137
10/09/2011,14.2,0.969283276,14.65,0.1695,0.0142
11/09/2011,14.1,0.989473684,14.25,0.165,0.0141
12/09/2011,13.9,1.007246377,13.8,0.1597,0.0139
13/09/2011,59.7,0.912146677,65.45,0.7576,0.0597
14/09/2011,48.3,0.912870913,52.91,0.6123,0.0483
15/09/2011,23.3,0.969621307,24.03,0.2782,0.0233
16/09/2011,17.9,1.022272987,17.51,0.2027,0.0179
17/09/2011,17.5,1.045400239,16.74,0.1938,0.0175
18/09/2011,17.6,1.055788842,16.67,0.193,0.0176
19/09/2011,18.7,1.058890147,17.66,0.2044,0.0187
20/09/2011,17.9,1.084848485,16.5,0.191,0.0179
21/09/2011,15.2,1.126760563,13.49,0.1562,0.0152
22/09/2011,15.3,1.139240506,13.43,0.1555,0.0153
23/09/2011,16.1,1.145907473,14.05,0.1626,0.0161
24/09/2011,16.9,1.157534247,14.6,0.1689,0.0169
25/09/2011,14.3,1.173092699,12.19,0.1411,0.0143
26/09/2011,12.3,1.164772727,10.56,0.1222,0.0123
27/09/2011,17.2,1.178082192,14.6,0.169,0.0172
28/09/2011,13.9,1.204506066,11.54,0.1336,0.0139
29/09/2011,12.4,1.192307692,10.4,0.1203,0.0124
30/09/2011,11.5,1.161616162,9.9,0.1146,0.0115
1/10/2011,13.2,1.167108753,11.31,0.1309,0.0132
2/10/2011,12.9,1.14973262,11.22,0.1299,0.0129
3/10/2011,12.1,1.118299445,10.82,0.1252,0.0121
4/10/2011,10.4,1.073271414,9.69,0.1122,0.0104
5/10/2011,8.3,1.008505468,8.23,0.0953,0.0083
6/10/2011,7.8,0.981132075,7.95,0.092,0.0078
7/10/2011,7.5,0.964010283,7.78,0.0901,0.0075
8/10/2011,7.4,0.949935815,7.79,0.0902,0.0074
9/10/2011,7.3,0.935897436,7.8,0.0903,0.0073
10/10/2011,6.3,0.89871612,7.01,0.0812,0.0063
11/10/2011,5.7,0.858433735,6.64,0.0768,0.0057
12/10/2011,5.2,0.841423948,6.18,0.0715,0.0052
13/10/2011,5.4,0.832049307,6.49,0.0751,0.0054
14/10/2011,5.9,0.830985915,7.1,0.0822,0.0059
15/10/2011,5.6,0.801144492,6.99,0.0809,0.0056
16/10/2011,7.1,0.809578107,8.77,0.1015,0.0071
17/10/2011,7.7,0.797101449,9.66,0.1118,0.0077
18/10/2011,14,0.799086758,17.52,0.2028,0.014
19/10/2011,23.3,0.727897532,32.01,0.3705,0.0233
20/10/2011,16.6,0.74008025,22.43,0.2596,0.0166
21/10/2011,11.8,0.747782003,15.78,0.1826,0.0118
22/10/2011,9.9,0.753424658,13.14,0.1521,0.0099
23/10/2011,8.2,0.708729473,11.57,0.1339,0.0082
24/10/2011,7.5,0.688705234,10.89,0.126,0.0075
25/10/2011,6.6,0.659340659,10.01,0.1159,0.0066
26/10/2011,5.7,0.627062706,9.09,0.1052,0.0057
27/10/2011,6.1,0.613065327,9.95,0.1151,0.0061
28/10/2011,5.8,0.595482546,9.74,0.1127,0.0058
29/10/2011,6.4,0.578661844,11.06,0.128,0.0064
30/10/2011,5.8,0.553435115,10.48,0.1213,0.0058
31/10/2011,5.1,0.532359081,9.58,0.1108,0.0051
1/11/2011,27.7,0.477998274,57.95,0.6707,0.0277
2/11/2011,17.2,0.482603816,35.64,0.4125,0.0172
3/11/2011,20.2,0.482907005,41.83,0.4841,0.0202
4/11/2011,9.7,0.521505376,18.6,0.2153,0.0097
5/11/2011,5.1,0.518819939,9.83,0.1138,0.0051
6/11/2011,3.5,0.497159091,7.04,0.0815,0.0035
7/11/2011,3,0.496688742,6.04,0.0699,0.003
8/11/2011,2.8,0.500894454,5.59,0.0647,0.0028
9/11/2011,2.8,0.496453901,5.64,0.0653,0.0028
10/11/2011,2.7,0.501858736,5.38,0.0623,0.0027
11/11/2011,2.6,0.497131931,5.23,0.0605,0.0026
12/11/2011,2.5,0.514403292,4.86,0.0562,0.0025
13/11/2011,2.8,0.506329114,5.53,0.064,0.0028
14/11/2011,2.8,0.509090909,5.5,0.0636,0.0028
15/11/2011,2.9,0.50877193,5.7,0.0659,0.0029
16/11/2011,3,0.51457976,5.83,0.0675,0.003
17/11/2011,3,0.519930676,5.77,0.0667,0.003
18/11/2011,2.8,0.52532833,5.33,0.0617,0.0028
19/11/2011,2.9,0.523465704,5.54,0.0642,0.0029
20/11/2011,3.1,0.521008403,5.95,0.0689,0.0031
21/11/2011,2.9,0.524412297,5.53,0.064,0.0029
22/11/2011,3,0.534759358,5.61,0.065,0.003
23/11/2011,3,0.526315789,5.7,0.066,0.003
24/11/2011,6.6,0.595130748,11.09,0.1283,0.0066
25/11/2011,6.2,0.593869732,10.44,0.1208,0.0062
26/11/2011,4.8,0.571428571,8.4,0.0972,0.0048
27/11/2011,4.2,0.558510638,7.52,0.087,0.0042
28/11/2011,3.5,0.559105431,6.26,0.0724,0.0035
29/11/2011,3.7,0.558069382,6.63,0.0767,0.0037
30/11/2011,4.2,0.561497326,7.48,0.0866,0.0042
1/12/2011,3.9,0.553191489,7.05,0.0816,0.0039
2/12/2011,7.6,0.629139073,12.08,0.1398,0.0076
3/12/2011,15.3,0.769230769,19.89,0.2302,0.0153
4/12/2011,19.9,0.948974726,20.97,0.2427,0.0199
5/12/2011,19.6,1.14619883,17.1,0.1979,0.0196
6/12/2011,28.5,1.315789474,21.66,0.2507,0.0285
7/12/2011,628.4,1.349714335,465.58,5.3887,0.6284
8/12/2011,220.3,1.346165597,163.65,1.8941,0.2203
9/12/2011,87.7,1.325975204,66.14,0.7655,0.0877
10/12/2011,1481.9,1.297931228,1141.74,13.2146,1.4819
11/12/2011,889.6,1.285586289,691.98,8.009,0.8896
12/12/2011,234.3,1.263072776,185.5,2.1469,0.2343
13/12/2011,299.2,1.240772995,241.14,2.791,0.2992
14/12/2011,293.1,1.222676456,239.72,2.7745,0.2931
15/12/2011,102.2,1.200375852,85.14,0.9854,0.1022
16/12/2011,58.7,1.18037402,49.73,0.5756,0.0587
17/12/2011,43.5,1.158763985,37.54,0.4345,0.0435
18/12/2011,37.9,1.147789219,33.02,0.3822,0.0379
19/12/2011,31.7,1.150217707,27.56,0.319,0.0317
20/12/2011,26,1.159161837,22.43,0.2596,0.026
21/12/2011,24.3,1.147308782,21.18,0.2452,0.0243
22/12/2011,22.1,1.136831276,19.44,0.225,0.0221
23/12/2011,19.4,1.132516054,17.13,0.1982,0.0194
24/12/2011,18.2,1.114513166,16.33,0.1889,0.0182
25/12/2011,17,1.100323625,15.45,0.1788,0.017
26/12/2011,15.1,1.097383721,13.76,0.1593,0.0151
27/12/2011,14.2,1.074130106,13.22,0.153,0.0142
28/12/2011,459.9,0.92596694,496.67,5.7485,0.4599
29/12/2011,2605.9,0.912877461,2854.6,33.0394,2.6059
30/12/2011,1182.9,0.892290053,1325.69,15.3437,1.1829
31/12/2011,500.7,0.871343299,574.63,6.6508,0.5007
1/01/2012,218.4,0.85106383,256.62,2.9702,0.2184
2/01/2012,93.4,0.829190341,112.64,1.3037,0.0934
3/01/2012,56.6,0.811236921,69.77,0.8076,0.0566
4/01/2012,41.6,0.797698945,52.15,0.6036,0.0416
5/01/2012,33.4,0.788852149,42.34,0.49,0.0334
6/01/2012,27.5,0.778595696,35.32,0.4087,0.0275
7/01/2012,23.6,0.7817158,30.19,0.3495,0.0236
8/01/2012,21.4,0.783308931,27.32,0.3161,0.0214
9/01/2012,19,0.777732296,24.43,0.2828,0.019
10/01/2012,18.1,0.774497219,23.37,0.2705,0.0181
11/01/2012,15.8,0.78140455,20.22,0.234,0.0158
12/01/2012,21.5,0.731541341,29.39,0.3402,0.0215
13/01/2012,20.4,0.72314782,28.21,0.3264,0.0204
14/01/2012,268.9,0.692559302,388.27,4.4938,0.2689
15/01/2012,675.8,0.68468724,987.02,11.4238,0.6758
16/01/2012,1182.1,0.632616037,1868.59,21.6272,1.1821
17/01/2012,269.9,0.347160589,777.45,8.9983,0.2699
18/01/2012,92,0.299967395,306.7,3.5498,0.092
19/01/2012,103.5,0.288550001,358.69,4.1516,0.1035
20/01/2012,53.5,0.280780938,190.54,2.2053,0.0535
21/01/2012,26.1,0.271084337,96.28,1.1144,0.0261
22/01/2012,18.3,0.261690262,69.93,0.8094,0.0183
23/01/2012,18.8,0.249933528,75.22,0.8706,0.0188
24/01/2012,104.7,0.241600517,433.36,5.0158,0.1047
25/01/2012,80.1,0.23208646,345.13,3.9945,0.0801
26/01/2012,56.8,0.222972442,254.74,2.9484,0.0568
27/01/2012,144.3,0.213689136,675.28,7.8158,0.1443
28/01/2012,246,0.201281327,1222.17,14.1455,0.246
29/01/2012,491.5,0.193385165,2541.56,29.4162,0.4915
30/01/2012,688.3,0.182607819,3769.28,43.6259,0.6883
31/01/2012,405.3,0.165502879,2448.9,28.3438,0.4053
