parameter,value,lower,upper
SCALE_DL,30.964503453178203074,0,0.5
SCALE_DIN,4.486851142301481E+000,0,1
gEMC,.4682322181008338,0,0.5
gDWC,100.0000000000000,0,0.1
fEMC,.0935813406060277,0,0.5
fDWC,49.22228980657690,0,0.1
cEMC,84.81625360405660,0,0.5
cDWC,90.17157306519101,0,0.1
oEMC,100.0000000000000,0,1
oDWC,.7800624050093331,0,0.2
