parameter,value,lower,upper
SCALE_DL,.17240526461927496715,0,0.5
SCALE_DIN,1.152232926161477E+000,0,1
gEMC,62.75937516717185,0,0.5
gDWC,82.51361685255057,0,0.1
fEMC,.3056853941635339,0,0.5
fDWC,65.82511668278731,0,0.1
cEMC,100.0000000000000,0,0.5
cDWC,69.67463422958639,0,0.1
oEMC,1.835398944739660,0,1
oDWC,31.97189678472328,0,0.2
