Data Source,Region,Basin,Catchment,Site Code,Site Name,Latitude,Longitude,Datum,Sample Reference,Sampling Year,Datetime,Collection Method,Sampling Depth (m),Laboratory,Analysis Method,Analyte Group,Analyte,Operator,NH4,Unit,Quality Code,Comment,Project Name,Project Description,NOX,DIN,CrossSectional,SampleProcessing
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,231989,2009-2010,18/02/2010 8:00,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.009,Milligrams/Litre,125,NA,NA,NA,0.041,0.05,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,231982,2009-2010,19/02/2010 8:00,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.011,Milligrams/Litre,125,NA,NA,NA,0.034,0.045,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,231992,2009-2010,20/02/2010 8:45,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.028,Milligrams/Litre,125,NA,NA,NA,0.111,0.139,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,231993,2009-2010,21/02/2010 18:30,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.01,Milligrams/Litre,125,NA,NA,NA,0.037,0.047,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,231994,2009-2010,22/02/2010 9:15,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.01,Milligrams/Litre,125,NA,NA,NA,0.045,0.055,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,231995,2009-2010,23/02/2010 9:40,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.017,Milligrams/Litre,125,NA,NA,NA,0.063,0.08,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,231996,2009-2010,24/02/2010 13:10,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.021,Milligrams/Litre,125,NA,NA,NA,0.114,0.135,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,231997,2009-2010,26/02/2010 9:20,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.012,Milligrams/Litre,125,NA,NA,NA,0.047,0.059,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,231998,2009-2010,27/02/2010 11:15,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.015,Milligrams/Litre,125,NA,NA,NA,0.052,0.067,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,231999,2009-2010,22/03/2010 9:00,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.006,Milligrams/Litre,125,NA,NA,NA,0.025,0.031,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,229102,2009-2010,24/03/2010 14:30,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.015,Milligrams/Litre,125,NA,NA,NA,0.056,0.071,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,229104,2009-2010,26/03/2010 10:45,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.015,Milligrams/Litre,125,NA,NA,NA,0.178,0.193,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,229105,2009-2010,28/04/2010 14:45,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.017,Milligrams/Litre,125,NA,NA,NA,1.26,1.277,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,229107,2009-2010,28/05/2010 10:20,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.029,Milligrams/Litre,125,NA,NA,NA,1.68,1.709,High flow,Optimal
