Condition,State,Bound,Median,Absolute extremes,Refined extremes
Flow at sample time,,Upper,0,0,0
Flow at sample time,,Lower,0,0,0
Equipment contamination,,Upper,0,0,0
Equipment contamination,,Lower,0,0,0
Days from sample to analysis,,Upper,0,0,0
Days from sample to analysis,,Lower,0,0,0
Sample Temp,,Upper,0,0,0
Sample Temp,,Lower,0,0,0
Days to filtering,,Upper,0,0,0
Days to filtering,,Lower,0,0,0
