iteration,total_runs,obs_realization,par_realization,din,all_params
1,240,93,93,5.65845,0.0185708
1,240,94,94,15.1584,0.490066
1,240,95,95,5.35055,0.00801678
1,240,96,96,6.7452,0.059903
1,240,97,97,4.6108,0.153137
1,240,98,98,4.81074,0.243026
1,240,99,99,4.57882,0.00126237
2,380,0,0,4.56572,1.03948
2,380,1,1,4.58863,0.0316001
2,380,2,2,4.84385,0.0190903
2,380,3,3,4.52074,1.09775
2,380,4,4,4.57089,0.142331
2,380,5,5,4.73075,0.135086
2,380,6,6,13.2646,0.793675
2,380,7,7,4.80432,0.414235
2,380,8,8,4.50403,0.0594502
2,380,9,9,4.83311,0.895178
2,380,10,10,4.58661,0.0341029
2,380,11,11,4.70927,0.373289
2,380,12,12,6.65925,0.339711
2,380,13,13,5.52799,0.67898
2,380,14,14,4.79248,0.0471099
2,380,15,15,4.98833,0.542414
2,380,16,16,4.76172,0.766258
2,380,17,17,5.16135,0.770221
2,380,18,18,11.2625,0.487897
2,380,19,19,12.2938,0.376054
2,380,20,20,5.10672,0.00589336
2,380,21,21,4.76921,0.0380164
2,380,22,22,4.77352,0.202441
2,380,23,23,4.50311,0.785386
2,380,24,24,4.55917,0.685124
2,380,25,25,5.14823,0.956091
2,380,26,26,4.72305,0.759556
2,380,27,27,4.57717,0.743722
2,380,28,28,4.53183,0.823258
2,380,29,29,4.80561,0.0016335
2,380,30,30,4.52924,0.905564
2,380,31,31,5.07247,0.0198368
2,380,32,32,4.64913,0.164044
2,380,33,33,5.07927,0.0601155
2,380,34,34,4.85304,0.00708326
2,380,35,35,5.29923,0.000747669
2,380,36,36,4.5903,0.0160557
2,380,37,37,5.03701,0.871385
2,380,38,38,4.85074,0.0826982
2,380,39,39,4.65743,0.432436
2,380,40,40,4.74537,0.657347
2,380,41,41,4.75789,0.153034
2,380,42,42,5.0075,0.701622
2,380,43,43,5.0217,0.314443
2,380,44,44,6.92357,0.131866
2,380,45,45,4.54702,0.0147384
2,380,46,46,7.84871,0.604286
2,380,47,47,4.7717,0.0403697
2,380,48,48,4.54149,0.803159
2,380,49,49,4.7113,0.89722
2,380,50,50,4.52105,0.00861556
2,380,51,51,4.60527,0.0354012
2,380,52,52,4.49136,0.018661
2,380,53,53,5.01436,0.00227002
2,380,54,54,4.93221,0.714804
2,380,55,55,4.53806,0.343467
2,380,56,56,4.74168,0.571433
2,380,57,57,4.5218,0.970805
2,380,58,58,4.56713,0.829974
2,380,59,59,4.74827,0.647612
2,380,60,60,5.00687,0.4936
2,380,61,61,4.55449,0.700733
2,380,62,62,4.61516,0.0572965
2,380,63,63,4.6946,0.875482
2,380,64,64,6.01889,0.112515
2,380,65,65,4.68269,0.732071
2,380,66,66,4.48538,0.115438
2,380,67,67,6.4792,0.236625
2,380,68,68,4.99698,0.0966207
2,380,69,69,4.49441,0.959225
2,380,70,70,4.5182,0.872804
2,380,71,71,4.5662,0.499483
2,380,72,72,17.8815,0.546999
2,380,73,73,8.93776,0.350085
2,380,74,74,4.55601,0.235473
2,380,75,75,4.99505,0.206263
2,380,76,76,4.65377,0.184486
2,380,77,77,4.53012,0.626541
2,380,78,78,4.64605,0.0804327
2,380,79,79,4.76422,0.0933642
2,380,80,80,4.59119,0.040383
2,380,81,81,5.09364,0.0512222
2,380,82,82,8.18293,0.150308
2,380,83,83,4.60408,0.202428
2,380,84,84,4.62693,0.0241162
2,380,85,85,4.71076,0.969349
2,380,86,86,4.8707,1.16977
2,380,87,87,4.52302,1.02666
2,380,88,88,4.51161,0.116316
2,380,89,89,4.84961,0.0991801
2,380,90,90,6.13023,0.182862
2,380,91,91,4.5163,0.00510421
2,380,92,92,4.97725,0.124046
2,380,93,93,4.67019,0.0550124
2,380,94,94,13.2972,0.666762
2,380,95,95,4.45414,0.0244864
2,380,96,96,4.49888,0.135286
2,380,97,97,4.5934,0.155818
2,380,98,98,4.83214,0.278403
2,380,99,99,4.51224,0.00250541
3,520,0,0,4.55537,1.02063
3,520,1,1,4.59237,0.0320101
3,520,2,2,4.65737,0.0305844
3,520,3,3,4.52199,1.11192
3,520,4,4,4.57508,0.144008
3,520,5,5,4.77003,0.137409
3,520,6,6,9.10263,1.35308
3,520,7,7,4.86013,0.459986
3,520,8,8,4.50192,0.0587208
3,520,9,9,4.89149,0.938554
3,520,10,10,4.58442,0.033853
3,520,11,11,4.6025,0.368214
3,520,12,12,5.05923,0.649678
3,520,13,13,5.43396,0.797258
3,520,14,14,4.64243,0.0738546
3,520,15,15,4.57017,0.559921
3,520,16,16,4.54881,0.755475
3,520,17,17,4.83337,0.885792
3,520,18,18,6.82416,1.00098
3,520,19,19,10.4719,0.884658
3,520,20,20,5.21872,0.00831918
3,520,21,21,4.72625,0.0361362
3,520,22,22,4.78997,0.20194
3,520,23,23,4.58525,0.802956
3,520,24,24,4.55711,0.670437
3,520,25,25,4.76418,0.94363
3,520,26,26,4.59327,0.740895
3,520,27,27,4.59501,0.723667
3,520,28,28,4.73247,0.79032
3,520,29,29,4.80541,0.00316874
3,520,30,30,4.62813,0.942054
3,520,31,31,4.82298,0.0474958
3,520,32,32,4.87289,0.175989
3,520,33,33,4.96125,0.0640887
3,520,34,34,4.77132,0.0149514
3,520,35,35,5.36142,0.00144452
3,520,36,36,4.57925,0.020533
3,520,37,37,4.63481,0.825927
3,520,38,38,4.51619,0.172589
3,520,39,39,4.517,0.502318
3,520,40,40,4.55283,0.714147
3,520,41,41,4.74519,0.154227
3,520,42,42,4.63294,0.757956
3,520,43,43,5.10946,0.366007
3,520,44,44,6.46463,0.377686
3,520,45,45,4.54624,0.0146588
3,520,46,46,4.72148,1.09509
3,520,47,47,4.78534,0.0423443
3,520,48,48,4.62979,0.775779
3,520,49,49,4.85354,0.936021
3,520,50,50,4.48668,0.0123894
3,520,51,51,4.5978,0.0392811
3,520,52,52,4.49499,0.0187253
3,520,53,53,5.19277,0.00424249
3,520,54,54,5.22191,0.750018
3,520,55,55,4.69646,0.417636
3,520,56,56,5.27476,0.546425
3,520,57,57,4.52801,0.941306
3,520,58,58,4.53558,0.791276
3,520,59,59,4.67397,0.618777
3,520,60,60,4.80804,0.455309
3,520,61,61,4.9221,0.731556
3,520,62,62,4.56891,0.0543686
3,520,63,63,4.77111,0.881047
3,520,64,64,5.23878,0.289792
3,520,65,65,4.58155,0.814184
3,520,66,66,4.4728,0.112165
3,520,67,67,6.60424,0.34932
3,520,68,68,4.94507,0.0995828
3,520,69,69,4.46839,0.905291
3,520,70,70,4.67944,0.869441
3,520,71,71,4.57181,0.527607
3,520,72,72,12.1967,1.23405
3,520,73,73,7.16404,0.637478
3,520,74,74,4.53449,0.252922
3,520,75,75,5.03277,0.226708
3,520,76,76,4.65287,0.182726
3,520,77,77,4.63759,0.623458
3,520,78,78,4.78094,0.0745651
3,520,79,79,4.72235,0.106805
3,520,80,80,4.57169,0.0523345
3,520,81,81,4.92647,0.0748368
3,520,82,82,7.41214,0.40596
3,520,83,83,4.57004,0.228139
3,520,84,84,4.75323,0.0351175
3,520,85,85,4.55344,0.929889
3,520,86,86,4.74747,1.26289
3,520,87,87,4.52082,1.12204
3,520,88,88,4.63074,0.106412
3,520,89,89,4.54067,0.0926147
3,520,90,90,5.8529,0.406645
3,520,91,91,4.51384,0.0125957
3,520,92,92,5.08646,0.272444
3,520,93,93,4.65031,0.0553745
3,520,94,94,10.9468,1.04933
3,520,95,95,4.44643,0.0302611
3,520,96,96,4.769,0.125265
3,520,97,97,4.56529,0.16721
3,520,98,98,4.9755,0.342676
3,520,99,99,4.50784,0.0041509
4,565,0,0,4.55537,1.02063
4,565,1,1,4.59237,0.0320101
4,565,2,2,4.65737,0.0305844
4,565,3,3,4.52199,1.11192
4,565,4,4,4.57508,0.144008
4,565,5,5,4.77003,0.137409
4,565,6,6,9.10263,1.35308
4,565,7,7,4.86013,0.459986
4,565,8,8,4.50192,0.0587208
4,565,9,9,4.89149,0.938554
4,565,10,10,4.58442,0.033853
4,565,11,11,4.6025,0.368214
4,565,12,12,5.05923,0.649678
4,565,13,13,5.57036,0.912399
4,565,14,14,4.64243,0.0738546
4,565,15,15,4.57017,0.559921
4,565,16,16,4.54881,0.755475
4,565,17,17,4.63028,1.00843
4,565,18,18,6.82416,1.00098
4,565,19,19,10.4719,0.884658
4,565,20,20,5.21872,0.00831918
4,565,21,21,4.72625,0.0361362
4,565,22,22,4.78997,0.20194
4,565,23,23,4.58525,0.802956
4,565,24,24,4.55711,0.670437
4,565,25,25,4.76418,0.94363
4,565,26,26,4.59327,0.740895
4,565,27,27,4.59501,0.723667
4,565,28,28,4.73247,0.79032
4,565,29,29,4.80541,0.00316874
4,565,30,30,4.62813,0.942054
4,565,31,31,4.82298,0.0474958
4,565,32,32,4.87289,0.175989
4,565,33,33,4.96125,0.0640887
4,565,34,34,4.77132,0.0149514
4,565,35,35,5.36142,0.00144452
4,565,36,36,4.57925,0.020533
4,565,37,37,4.63481,0.825927
4,565,38,38,4.51619,0.172589
4,565,39,39,4.517,0.502318
4,565,40,40,4.55283,0.714147
4,565,41,41,4.74519,0.154227
4,565,42,42,4.63294,0.757956
4,565,43,43,5.10946,0.366007
4,565,44,44,6.46463,0.377686
4,565,45,45,4.54624,0.0146588
4,565,46,46,4.72148,1.09509
4,565,47,47,4.78534,0.0423443
4,565,48,48,4.62979,0.775779
4,565,49,49,4.85354,0.936021
4,565,50,50,4.48668,0.0123894
4,565,51,51,4.5978,0.0392811
4,565,52,52,4.49499,0.0187253
4,565,53,53,5.19277,0.00424249
4,565,54,54,5.22191,0.750018
4,565,55,55,4.69646,0.417636
4,565,56,56,5.27476,0.546425
4,565,57,57,4.52801,0.941306
4,565,58,58,4.53558,0.791276
4,565,59,59,4.67397,0.618777
4,565,60,60,4.80804,0.455309
4,565,61,61,4.9221,0.731556
4,565,62,62,4.56891,0.0543686
4,565,63,63,4.77111,0.881047
4,565,64,64,5.23878,0.289792
4,565,65,65,4.58155,0.814184
4,565,66,66,4.4728,0.112165
4,565,67,67,6.60424,0.34932
4,565,68,68,4.94507,0.0995828
4,565,69,69,4.46839,0.905291
4,565,70,70,4.67944,0.869441
4,565,71,71,4.57181,0.527607
4,565,72,72,12.1967,1.23405
4,565,73,73,7.16404,0.637478
4,565,74,74,4.53449,0.252922
4,565,75,75,5.03277,0.226708
4,565,76,76,4.65056,0.181321
4,565,77,77,4.63759,0.623458
4,565,78,78,4.78094,0.0745651
4,565,79,79,4.72235,0.106805
4,565,80,80,4.56896,0.0707587
4,565,81,81,4.92647,0.0748368
4,565,82,82,7.41214,0.40596
4,565,83,83,4.57004,0.228139
4,565,84,84,4.75323,0.0351175
4,565,85,85,4.55344,0.929889
4,565,86,86,4.74747,1.26289
4,565,87,87,4.52082,1.12204
4,565,88,88,4.63074,0.106412
4,565,89,89,4.54067,0.0926147
4,565,90,90,4.85366,0.626551
4,565,91,91,4.51384,0.0125957
4,565,92,92,5.08646,0.272444
4,565,93,93,4.65031,0.0553745
4,565,94,94,10.9468,1.04933
4,565,95,95,4.44643,0.0302611
4,565,96,96,4.769,0.125265
4,565,97,97,4.56529,0.16721
4,565,98,98,4.9755,0.342676
4,565,99,99,4.50784,0.0041509
5,705,0,0,4.55409,1.00849
5,705,1,1,4.593,0.032869
5,705,2,2,4.64896,0.043679
5,705,3,3,4.52281,1.12696
5,705,4,4,4.57605,0.14395
5,705,5,5,4.79901,0.139701
5,705,6,6,4.64216,1.73615
5,705,7,7,4.89727,0.507648
5,705,8,8,4.50037,0.0579679
5,705,9,9,4.89406,0.982549
5,705,10,10,4.58295,0.0337778
5,705,11,11,4.65693,0.35114
5,705,12,12,4.62118,0.826596
5,705,13,13,5.56431,1.08031
5,705,14,14,4.5935,0.0874618
5,705,15,15,4.77213,0.530322
5,705,16,16,4.54735,0.748306
5,705,17,17,4.50973,1.13749
5,705,18,18,4.84828,1.26409
5,705,19,19,8.76611,1.35926
5,705,20,20,5.24855,0.010669
5,705,21,21,4.7196,0.0367175
5,705,22,22,4.80215,0.202424
5,705,23,23,4.63946,0.82287
5,705,24,24,4.55847,0.654919
5,705,25,25,4.69517,0.944044
5,705,26,26,4.6018,0.727164
5,705,27,27,4.5995,0.705906
5,705,28,28,4.76916,0.766882
5,705,29,29,4.80445,0.00511086
5,705,30,30,4.63799,0.98249
5,705,31,31,4.80135,0.0713236
5,705,32,32,4.85354,0.199128
5,705,33,33,4.89169,0.0661314
5,705,34,34,4.73151,0.0266492
5,705,35,35,5.40929,0.00224961
5,705,36,36,4.57717,0.0233453
5,705,37,37,4.57454,0.795369
5,705,38,38,4.56384,0.21417
5,705,39,39,4.50433,0.54958
5,705,40,40,4.64021,0.735935
5,705,41,41,4.74353,0.154226
5,705,42,42,4.48529,0.809611
5,705,43,43,5.13088,0.418534
5,705,44,44,6.96834,0.66183
5,705,45,45,4.54616,0.0149472
5,705,46,46,4.93368,1.12528
5,705,47,47,4.77998,0.0452765
5,705,48,48,4.66778,0.754914
5,705,49,49,4.87686,0.977536
5,705,50,50,4.49056,0.015258
5,705,51,51,4.58384,0.0497133
5,705,52,52,4.49371,0.0200859
5,705,53,53,5.08499,0.00680821
5,705,54,54,5.22259,0.774921
5,705,55,55,4.60767,0.445052
5,705,56,56,4.90058,0.497514
5,705,57,57,4.5239,0.916679
5,705,58,58,4.56983,0.764114
5,705,59,59,4.64566,0.58385
5,705,60,60,4.68692,0.419594
5,705,61,61,4.81537,0.739975
5,705,62,62,4.57195,0.055045
5,705,63,63,4.79467,0.888832
5,705,64,64,5.32585,0.456341
5,705,65,65,4.57477,0.874343
5,705,66,66,4.46988,0.111698
5,705,67,67,6.58723,0.489055
5,705,68,68,4.93583,0.101151
5,705,69,69,4.46447,0.866692
5,705,70,70,4.71385,0.872623
5,705,71,71,4.57637,0.554086
5,705,72,72,5.64987,1.69127
5,705,73,73,5.07522,0.939468
5,705,74,74,4.52224,0.269861
5,705,75,75,5.03262,0.245722
5,705,76,76,4.64859,0.180224
5,705,77,77,4.60064,0.605769
5,705,78,78,4.77428,0.0786394
5,705,79,79,4.70452,0.117791
5,705,80,80,4.58054,0.0942289
5,705,81,81,4.83473,0.10045
5,705,82,82,7.11351,0.669886
5,705,83,83,4.53649,0.254797
5,705,84,84,4.8259,0.0376546
5,705,85,85,4.53904,0.905073
5,705,86,86,4.8103,1.34942
5,705,87,87,4.53943,1.21783
5,705,88,88,4.63262,0.119284
5,705,89,89,4.54884,0.111924
5,705,90,90,4.65906,0.798571
5,705,91,91,4.49516,0.0263068
5,705,92,92,5.26704,0.451461
5,705,93,93,4.63907,0.0548885
5,705,94,94,9.59095,1.34459
5,705,95,95,4.44547,0.0406246
5,705,96,96,4.7724,0.141134
5,705,97,97,4.55694,0.179163
5,705,98,98,5.1538,0.412258
5,705,99,99,4.50736,0.00615178
6,750,0,0,4.55409,1.00849
6,750,1,1,4.593,0.032869
6,750,2,2,4.64896,0.043679
6,750,3,3,4.52281,1.12696
6,750,4,4,4.57605,0.14395
6,750,5,5,4.79901,0.139701
6,750,6,6,4.64216,1.73615
6,750,7,7,4.89727,0.507648
6,750,8,8,4.50037,0.0579679
6,750,9,9,4.89479,1.02806
6,750,10,10,4.58295,0.0337778
6,750,11,11,4.65693,0.35114
6,750,12,12,4.62118,0.826596
6,750,13,13,5.6625,1.28873
6,750,14,14,4.5935,0.0874618
6,750,15,15,4.77213,0.530322
6,750,16,16,4.54735,0.748306
6,750,17,17,4.50973,1.13749
6,750,18,18,4.84828,1.26409
6,750,19,19,8.76611,1.35926
6,750,20,20,5.24855,0.010669
6,750,21,21,4.7196,0.0367175
6,750,22,22,4.80215,0.202424
6,750,23,23,4.63946,0.82287
6,750,24,24,4.55847,0.654919
6,750,25,25,4.69517,0.944044
6,750,26,26,4.6018,0.727164
6,750,27,27,4.5995,0.705906
6,750,28,28,4.76916,0.766882
6,750,29,29,4.80445,0.00511086
6,750,30,30,4.63799,0.98249
6,750,31,31,4.80135,0.0713236
6,750,32,32,4.85354,0.199128
6,750,33,33,4.89169,0.0661314
6,750,34,34,4.73151,0.0266492
6,750,35,35,5.40929,0.00224961
6,750,36,36,4.57717,0.0233453
6,750,37,37,4.57454,0.795369
6,750,38,38,4.56384,0.21417
6,750,39,39,4.50433,0.54958
6,750,40,40,4.64021,0.735935
6,750,41,41,4.74353,0.154226
6,750,42,42,4.48529,0.809611
6,750,43,43,5.13088,0.418534
6,750,44,44,6.96834,0.66183
6,750,45,45,4.54616,0.0149472
6,750,46,46,4.93368,1.12528
6,750,47,47,4.77998,0.0452765
6,750,48,48,4.66778,0.754914
6,750,49,49,4.87686,0.977536
6,750,50,50,4.49056,0.015258
6,750,51,51,4.58384,0.0497133
6,750,52,52,4.49371,0.0200859
6,750,53,53,5.08499,0.00680821
6,750,54,54,5.22259,0.774921
6,750,55,55,4.60767,0.445052
6,750,56,56,4.90058,0.497514
6,750,57,57,4.5239,0.916679
6,750,58,58,4.56983,0.764114
6,750,59,59,4.64566,0.58385
6,750,60,60,4.68692,0.419594
6,750,61,61,4.81537,0.739975
6,750,62,62,4.57195,0.055045
6,750,63,63,4.79467,0.888832
6,750,64,64,5.32585,0.456341
6,750,65,65,4.57477,0.874343
6,750,66,66,4.46988,0.111698
6,750,67,67,6.58723,0.489055
6,750,68,68,4.93583,0.101151
6,750,69,69,4.46447,0.866692
6,750,70,70,4.71385,0.872623
6,750,71,71,4.57637,0.554086
6,750,72,72,5.64987,1.69127
6,750,73,73,4.50497,1.15781
6,750,74,74,4.52224,0.269861
6,750,75,75,5.03262,0.245722
6,750,76,76,4.64859,0.180224
6,750,77,77,4.60203,0.589025
6,750,78,78,4.77428,0.0786394
6,750,79,79,4.70452,0.117791
6,750,80,80,4.58054,0.0942289
6,750,81,81,4.83473,0.10045
6,750,82,82,7.11351,0.669886
6,750,83,83,4.53649,0.254797
6,750,84,84,4.8259,0.0376546
6,750,85,85,4.53904,0.905073
6,750,86,86,4.8103,1.34942
6,750,87,87,4.53943,1.21783
6,750,88,88,4.63262,0.119284
6,750,89,89,4.54742,0.130751
