real_name,scale_dl,scale_din,gemc,gdwc,femc,fdwc,cemc,cdwc,oemc,odwc
63,10.4021,2.67851,43.8909,33.9562,16.1792,1.775,100,2.34182,89.2816,0.057612
64,2.89093,0.759332,1.86717,1.1658,100,9.78351,22.4164,0.275243,100,95.1856
65,100,3.69517,0.0199864,79.1568,100,4.11783,44.1114,3.06101,100,0.977857
66,2.41386,5.26833,19.4995,91.3127,54.0232,97.0245,51.7215,100,83.6491,89.9703
67,50.8465,5.15963,0.0225802,100,0.108391,7.80502,100,76.193,100,0.9605
68,73.5269,12.5135,56.5404,89.3068,0.000660455,95.3974,12.2408,2.62418,89.0967,79.5395
69,100,2.8958,22.7419,47.5829,50.0726,89.8195,88.3462,72.1972,1.25411,95.3944
70,0.0673591,2.69069,45.2416,70.2844,71.9278,87.8603,1.21351,0.337937,91.3956,60.5511
71,94.3866,4.8733,40.1359,2.2314,5.1316,85.534,100,79.9354,65.2152,0.3012
72,26.8661,0.902499,9.65088,100,3.24495,14.0868,0.0912411,9.20237,9.57813,75.0609
73,0.264577,0.733555,7.93825,25.9832,0.416186,26.0995,100,68.1376,1.27042,37.1929
74,19.6853,8.17287,60.5812,84.0215,1.60754,54.7263,0.415176,1.62601,88.7437,90.348
75,93.931,8.8703,62.965,5.09887,0.01432,90.5462,33.1369,88.4364,92.5214,3.5209
76,94.089,11.1347,13.4281,31.6929,74.4741,91.9305,9.74739,91.6992,89.8597,99.738
77,0.0513791,4.60466,48.7653,76.4934,0.762472,90.3357,47.4655,66.1921,100,92.8801
78,1.1305,0.0101334,47.4574,6.60427,61.1447,0.0169614,62.8344,20.7746,0.421102,1.07468
79,3.71094,13.555,23.7945,21.415,16.3173,93.538,42.1146,0.0461074,97.5943,96.1178
80,100,2.53988,50.0897,0.790631,70.7932,25.0775,1.07205,92.5455,99.1269,100
81,0.0174899,16.5937,1.80359,13.6787,86.0375,15.4599,7.27336,90.2493,21.601,44.5024
82,12.4339,0.0713567,4.81001,0.174325,100,0.126336,0.327703,0.0582832,0.142599,88.7387
83,83.4386,8.45808,5.82036,85.7993,73.0528,86.0903,71.5617,98.6911,31.1071,100
84,100,12.2981,49.0762,100,0.109123,92.1074,7.21265,92.5419,41.6397,8.46971
85,100,2.64884,26.3004,65.2909,52.2637,87.3092,59.1906,0.39629,12.5957,95.3254
86,91.9834,1.58956,34.3472,0.122888,57.7741,80.0677,89.6649,72.6898,80.989,93.8818
87,91.256,1.89052,50.3283,68.4327,8.53918,6.51763,100,72.4805,4.51763,93.936
88,1.43587,0.0781275,44.4846,92.1165,56.5212,96.0453,53.2961,0.00148224,1.42023,100
89,1.68184,1.26145,54.3973,13.8129,1.84062,91.922,51.1995,0.433057,81.9181,2.00923
90,1.4225,15.2439,10.286,100,1.22442,0.708383,3.23359,79.6613,100,79.749
91,3.042,0.0869204,0.022857,100,100,30.7737,100,94.4727,100,0.292573
92,10.4959,5.90682,0.38568,1.64683,100,7.20217,15.3503,0.0917358,100,25.9542
93,88.3685,11.4949,3.32758,3.80219,65.5369,96.9517,62.0869,79.9124,0.101582,1.05745
94,100,6.28814,0.108796,1.13199,7.89606,95.7986,14.6253,57.4136,0.113755,83.5066
95,86.9236,4.51309,2.27291,98.9465,82.7663,94.322,71.6145,100,74.7066,0.97856
96,6.52598,2.22665,44.2855,90.8959,41.0283,28.8055,50.5311,72.3311,81.2298,26.9138
97,99.7995,11.9045,1.37734,88.8829,29.4546,92.3173,100,69.863,2.106,96.1536
98,95.4108,7.4877,0.0534054,0.127318,29.7634,0.379975,100,0.191696,98.6037,1.58427
99,95.0886,2.83672,50.6381,18.1958,0.771823,99.3857,89.2363,4.70802,1.75602,10.3875
