real_name,din_2009,din_2010,din_2011,din_2012,din_2013,din_2014,din_2015,din_2016,din_2017
0,62.9457,104.793,51.6544,45.6192,17.4797,10.1666,20.2559,59.9675,10.7529
1,62.5978,102.732,52.16,46.0574,17.2182,9.81581,19.8347,59.6695,10.3723
2,65.8049,107.609,55.3588,48.7257,18.0052,10.1767,20.7459,62.7074,10.5589
3,63.5544,105.395,52.4416,46.3565,17.7348,10.2736,20.4426,60.5037,10.8137
4,61.4841,106.245,48.8022,43.2123,17.4094,10.674,20.4473,58.778,11.499
5,59.0757,96.5006,48.9545,43.5491,16.5532,9.4541,18.8455,56.1445,10.165
6,43.4372,76.1401,32.1589,29.6917,13.2616,8.33833,15.1682,41.173,10.2798
7,67.7481,114.682,55.4946,48.7893,18.8509,11.1257,22.06,64.6175,11.6225
8,63.0101,105.659,51.6739,45.755,17.7117,10.42,20.4708,60.0306,11.0792
9,68.5356,113.468,57.2552,50.1293,18.8722,10.5031,22.1876,64.7735,11.2668
10,63.3765,103.625,53.058,46.8285,17.4053,9.85149,20.0167,60.3613,10.37
11,63.8348,112.053,50.2565,44.3565,18.2622,11.2453,21.6986,60.856,12.2653
12,55.6678,99.1883,42.1569,37.7936,16.4333,10.5324,19.2676,53.2477,11.753
13,53.5936,91.5373,42.0733,37.9095,15.4517,9.75759,17.5644,51.5745,10.4621
14,59.0022,104.67,45.4719,40.6586,17.266,11.1135,20.1353,56.6092,12.0059
15,63.9504,111.187,50.841,44.9759,18.2531,11.2094,21.4255,61.1163,12.0158
16,63.7499,107.208,52.2424,46.0072,17.7603,10.2313,20.8925,60.4369,11.1979
17,59.9144,99.6724,48.8518,43.4566,16.9529,9.9294,19.388,57.081,10.6156
18,49.4841,82.1831,39.453,35.8817,14.5369,8.64292,16.2482,47.0171,9.89059
19,41.0032,71.4769,30.0343,27.9214,12.4461,8.01219,14.0949,39.1357,9.75001
20,54.8004,101.283,39.8797,35.8475,16.4882,11.052,19.5968,52.5895,12.459
21,60.4882,98.7968,50.3275,44.5182,16.5769,9.42667,19.0807,57.614,10.0488
22,65.4044,115.559,51.1323,45.0553,18.5836,11.745,22.0518,62.811,12.3676
23,65.5913,109.374,54.1527,47.6501,18.3165,10.3347,21.4137,62.0456,11.2407
24,62.5242,105.634,50.4581,44.6965,17.5091,10.6553,20.1757,60.0359,10.941
25,58.7623,98.362,47.7227,42.4568,16.5394,9.7599,19.0429,56.0288,10.5744
26,64.4362,108.489,52.7941,46.4324,17.8595,10.3181,21.0453,61.1729,11.2083
27,66.212,111.287,54.4003,47.9459,18.7138,10.7299,21.8258,62.67,11.6051
28,66.8206,112.392,54.9797,48.4192,18.5849,10.9346,21.6246,63.7491,11.3882
29,67.8672,110.803,57.618,50.4424,18.549,9.90477,21.8119,63.8032,10.9591
30,65.719,109.576,54.4046,47.9384,18.2377,10.574,21.143,62.6608,11.0881
31,57.5934,98.2077,45.7639,41.0266,16.5441,10.337,18.7944,55.4169,10.8389
32,67.7971,116.948,54.6621,48.0666,19.2635,11.4311,22.7734,64.362,12.3558
33,64.2702,119.555,47.6785,42.3931,19.0116,13.0854,22.5989,62.2558,13.6688
34,62.578,113.871,47.2184,41.8943,18.0544,12.2045,21.3946,60.7069,12.6433
35,65.4401,124.571,47.2571,41.8261,19.5413,13.5326,23.6884,63.19,14.4819
36,63.22,102.761,53.096,46.723,17.3739,9.42076,20.2068,59.652,10.378
