real_name,din_2009,din_2010,din_2011,din_2012,din_2013,din_2014,din_2015,din_2016,din_2017
0,62.2283,103.579,50.9988,45.0847,17.3007,10.0762,20.026,59.2918,10.6869
1,62.9864,103.352,52.5299,46.3631,17.3077,9.86852,19.9388,60.0563,10.3914
2,67.8574,110.964,57.2943,50.3061,18.485,10.4243,21.3486,64.6853,10.6973
3,63.3228,105.102,52.1854,46.1442,17.6815,10.2628,20.3811,60.2954,10.8104
4,61.7481,106.708,49.0355,43.4046,17.4737,10.7179,20.525,59.0431,11.5212
5,59.462,97.1226,49.3255,43.8525,16.6417,9.49929,18.9555,56.5193,10.1881
6,36.1494,64.5899,25.0828,23.9239,11.5544,7.61252,12.9809,34.352,9.79528
7,67.1136,114.44,54.5481,47.9994,18.7581,11.2071,21.9911,64.0725,11.7417
8,63.1574,105.841,51.8357,45.8881,17.7389,10.4297,20.4993,60.1774,11.0725
9,68.063,112.929,56.7051,49.6779,18.7785,10.498,22.0787,64.3452,11.2805
10,63.605,103.998,53.272,47.0023,17.4553,9.88033,20.0795,60.5878,10.3815
11,58.5703,103.029,45.4588,40.4534,16.9671,10.5669,20.0176,55.858,11.7736
12,48.9616,89.8523,35.1859,32.055,14.9136,10.0267,17.4733,46.9902,11.5856
13,53.7462,92.0993,42.0657,37.9082,15.4986,9.8702,17.6135,51.8118,10.5108
14,57.3766,102.059,43.9136,39.3878,16.8863,10.9362,19.6535,55.065,11.8986
15,56.217,97.8798,43.7937,39.235,16.3425,10.2022,18.9507,53.7701,11.2775
16,58.6745,98.9193,47.4298,42.0857,16.5476,9.66219,19.3359,55.6505,10.811
17,55.7371,93.6884,44.5205,39.8964,16.0063,9.6087,18.2421,53.1902,10.4687
18,39.9888,66.5611,30.5321,28.6141,12.2753,7.53645,13.3548,38.0002,9.1719
19,38.0216,65.9767,27.4904,25.8461,11.6787,7.52696,13.1025,36.2429,9.39673
20,55.6098,103.318,40.3379,36.2081,16.7373,11.2835,19.9552,53.405,12.6714
